PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2009-02,BE,"18,21",:,:,:,:,"901,94","0,56",:,:,"206,55","1.778,51","204,97",:,"6.977,39","1.838,49","0,37",:,"112,78",:,:,"7.631,15",:,"55,09","1.328,49","901,74",:,"24,14","421,91"
2009-02,BG,"4.540,98",:,:,:,"882,68","804,70",:,:,"226,41","9,00","4.066,86","282,97",:,"1.112,68",:,"20,23",:,:,:,:,"0,61","141,19",:,"534,01","464,31",:,:,"135,73"
2009-02,CY,:,:,:,:,:,"134,52",:,:,"354,08",:,"28,20",:,:,"126,99",:,:,:,:,:,:,"82,94",:,:,"38,96","376,50",:,:,"15,28"
2009-02,CZ,"704,61",:,:,:,:,"666,51",:,:,"0,51","23,44","3.602,91","230,96",:,"13.238,38","1.310,35","2.014,95","11,96",:,"99,19",:,"1.216,29","1.822,77",:,"814,01","1.799,53",:,"1.705,43","737,56"
2009-02,DE,"6.103,90","5,55","221,42","108,59","1.377,24",:,"554,77",:,:,"861,62","26.911,91","5.557,46",:,"45.898,39","34.669,40","1.673,74","38,79","3.053,00",:,:,"34.477,86","3.083,10","243,05","7.464,00","6.430,81",:,"13,39","17.893,44"
2009-02,DK,"39,46","409,94","15,62",:,"21,05","2.134,96",:,:,"0,10","453,34","4.659,50","47,08",:,"3.358,31","2.808,53","367,51","0,12",:,:,:,"2.552,85","9,83","58,95","295,53","13.046,87",:,"3,82","837,24"
2009-02,EE,:,:,:,:,"328,91","2,12",:,:,:,:,"1.234,12",:,:,:,:,"5,03","3,81",:,"373,16",:,:,:,:,:,"399,11",:,"198,16",:
2009-02,EL,"11.104,00",:,"15,83","15,82",:,"1.186,21","53,00",:,:,"9,36","11.159,57","459,38",:,"78,02",:,"231,83",:,:,:,:,"0,27",:,:,:,"207,24",:,:,"2.614,57"
2009-02,ES,:,:,:,:,"777,36","497,21","11,84",:,:,:,"16.314,98","1.014,53",:,"26.590,73","10,30","1.401,40",:,:,:,:,"23.416,27","225,81","574,94","4.647,90","10,27",:,:,"15.897,63"
2009-02,FI,"57,08","55,41",:,:,"570,86","62,02","11,75","899,31",:,"115,26",:,"86,72",:,"20.526,65","298,59","9,68","37,16",:,"7,86",:,"49,98","37,33",:,"605,88","2.130,76",:,"10,63","504,82"
2009-02,FR,"65,94","62,78",:,"148,25","147,66","1.777,75","451,59",:,"0,09","68,57","4.925,32",:,:,"16.339,10","20,00","103,13","403,52","52,23",:,:,"39.822,59","113,75","65,88","2.604,31","1.071,47",:,"20,98","23.765,52"
2009-02,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009-02,HU,"4.011,96",:,:,:,"83,09","569,88","26,04",:,:,"103,80","1.473,41","749,83","81,16",:,"511,76","6,30",:,:,:,:,"35,72","1.052,35","0,56","820,66","935,27",:,"2,87","324,78"
2009-02,IE,:,:,:,:,:,"16,51",:,:,:,:,"13.540,88","67,02",:,"7.519,04",:,:,:,:,:,:,"2.056,37",:,:,"198,40",:,:,:,"3.024,54"
2009-02,IT,"607,40","4,43",:,:,"12,99","5.090,58",:,:,:,"132,79","25.812,08","1.255,83","1,69","31.196,74","3,94",:,:,"98,75",:,:,"11.214,96",:,"112,23","6.745,73","3,96","10,65","112,50","24.783,75"
2009-02,LT,:,:,:,:,"4,79","110,23",:,"1,31",:,:,"1.137,75",:,:,"1.497,22",:,:,:,:,"588,03",:,"57,26","0,00","2,40","60,28","566,84",:,:,"318,56"
2009-02,LU,:,"2.764,28","526,45",:,:,"2.835,18","97,52",:,:,"418,12",:,"960,96",:,:,"5,66","152,91",:,:,:,:,"7.947,16","801,63",:,:,:,:,"78,38","388,24"
2009-02,LV,"485,83",:,:,:,"1,73","16,67",:,"0,13",:,:,"396,86",:,:,"114,21",:,:,"435,77",:,:,:,:,"1,22",:,:,"176,10",:,"10,23","13,32"
2009-02,MT,:,:,:,:,:,"18,82",:,:,:,:,"156,60","1,47",:,:,:,"35,05",:,:,:,:,"2,61",:,:,:,:,:,:,"395,30"
2009-02,NL,"1,10","8.542,89","0,57",:,"108,91","1.493,49","33,27","0,14","1,07","12,99","11.380,68","706,09",:,"10.596,94","7.234,33","570,79","0,01",:,"0,01",:,:,"1,18","30,19","1.525,25","2.034,14","0,30","20,47","1.022,16"
2009-02,PL,"10.908,70","0,06",:,:,"1.079,38","2.959,55","88,89",:,:,:,"15.943,65","796,22",:,"21.043,65","3.312,46",:,"0,50","1,00","0,44",:,"182,54",:,"7,80","0,04","10.417,74",:,:,"459,48"
2009-02,PT,:,"3,18",:,:,:,"96,02","0,03",:,:,"520,01","5.727,38","1.535,80",:,"7.414,02",:,:,:,:,:,:,"3.432,26",:,:,"2.264,29","190,97",:,:,"606,95"
2009-02,RO,"4.029,23",:,"471,84",:,"352,86","405,62","4,75",:,"0,84","11,57","1.994,17","17,44",:,"10.299,47",:,:,:,:,"16,45",:,"18,34","0,20","58,99",:,"2.485,58",:,:,"51,01"
2009-02,SE,:,:,:,:,:,"145,61","402,77",:,:,:,"2.325,83","35,80",:,"2.235,72","518,93",:,:,:,:,:,"29,73","21,13",:,"170,01",:,:,:,"143,07"
2009-02,SI,"3.293,54","1,09",:,:,"2,63","23,63","12,40",:,:,:,"1.102,59","70,06","4,30",:,:,"2.757,27",:,:,:,:,:,"2,26",:,:,"8,32",:,:,"129,62"
2009-02,SK,"337,55",:,:,:,"4.980,25","22,59",:,:,:,"0,14","4.429,45",:,:,"976,55","420,00","14,10",:,:,:,:,"9,91","1.179,43",:,:,"1.094,77",:,:,"611,29"
2009-02,UK,"98,84","62,03","9,58",:,"245,35","16.325,93","283,95",:,:,"262,49","36.621,55","3.043,73",:,"64.823,01","8.046,12","569,49",:,"50,41",:,:,"35.332,03","4.069,79","93,13","6.722,40","302,95",:,"11,59",:
2009-03,AT,:,:,"55,28",:,"283,24","2.181,32","52,25",:,:,:,"12.732,70","5.375,95","0,62","260,83","4.194,66","3.381,28",:,"18,31",:,"336,70","6.785,32","0,61",:,"573,03","4.336,94",:,"221,55","1.274,56"
2009-03,BE,:,:,:,:,"4,18","1.106,97","1,67",:,:,"61,54","1.520,73","190,46",:,"6.222,45","1.783,49","0,35",:,"72,38",:,:,"12.037,31",:,"63,23","1.090,83","1.339,50",:,:,"684,48"
2009-03,BG,"4.363,34","2,85",:,:,"239,46","694,79",:,:,"199,60",:,"1.836,30",:,:,"398,74","842,31",:,"1,50","8,26",:,:,"7,30","103,06","9,72","23,72","502,62",:,"11,75","60,70"
2009-03,CY,:,:,:,:,:,"118,16",:,:,"834,90",:,"34,92",:,:,"197,62",:,:,:,:,:,:,:,:,:,"56,69","394,98",:,:,"26,05"
2009-03,CZ,"1.536,70",:,:,"27,44",:,"1.647,43","0,67",:,:,"69,53","2.361,44","78,87",:,"13.495,82","1.785,39","2.277,66","8,90","0,83",:,:,"259,79","1.090,49",:,"773,39","2.182,75",:,"819,97","265,22"
2009-03,DE,"8.003,33","321,67","867,42","694,13","1.963,83",:,"113,20",:,:,"428,32","22.198,57","3.055,36","12,99","50.343,36","45.432,36","4.635,13","55,79","3.043,95",:,:,"57.998,01","51,13","13,21","8.046,58","1.383,75",:,"289,66","13.435,57"
2009-03,DK,"80,18","391,07","28,21",:,"36,21","3.280,64",:,:,:,"18,61","3.040,30","34,44",:,"5.747,73","3.248,11","118,45","0,12","0,63",:,:,"860,66","16,34","79,61","386,23","14.666,78",:,"5,19","941,82"
2009-03,EE,:,:,:,:,"124,94",:,:,:,:,:,"1.031,08",:,:,:,:,:,"5,53",:,"509,81",:,"0,16","0,30",:,:,"397,21",:,"488,86",:
2009-03,EL,"12.623,38",:,"134,63","529,96","5,71","1.373,14","58,21",:,:,:,"22.912,90","133,57",:,"177,83",:,"62,86",:,"0,62",:,:,"1.289,04",:,:,:,"737,78",:,:,"33,25"
2009-03,ES,:,:,:,:,"405,62","659,09","3,42",:,:,:,"13.389,86","895,58",:,"44.556,17","0,40","1.832,45",:,"3,07",:,:,"35.902,96","47,78","700,43","5.544,92","1,01",:,:,"13.049,64"
2009-03,FI,"18,86","48,27",:,:,"3,15","31,92","72,96","572,30","2,14",:,:,"171,24","1,10","7.313,34","913,50","8,99","152,58","0,94",:,:,"53,40","0,26","0,71","840,18","2.375,47",:,"21,27","78,66"
2009-03,FR,"84,50","86,84",:,"595,86","80,27","5.033,50","257,01",:,"12,73","20,39","24.448,58",:,:,"16.395,32","0,04","259,10","4,62","10,48",:,:,"76.527,89",:,"6,71","1.536,20","467,55",:,"0,38","7.160,15"
2009-03,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009-03,HU,"11.977,83",:,"0,33",:,"75,86","497,89","0,94",:,"4,55",:,"1.960,46","290,19","94,85",:,"802,35","1.122,80",:,:,:,:,"1,58","1,83","575,08","1.177,42","471,87",:,"4,17","292,52"
2009-03,IE,:,:,:,:,"17,42","0,93",:,:,:,:,"9.516,74","131,75",:,"11.221,26",:,:,:,"1,87",:,:,"2.879,43",:,:,"294,90",:,:,:,"3.875,59"
2009-03,IT,"827,81","596,96",:,:,"829,51","5.427,30",:,:,:,"1,21","20.575,13","4.270,11",:,"36.239,58","4,28",:,:,"84,26",:,"139,16","16.960,74",:,:,"8.783,26","113,39","9,05",:,"6.321,19"
2009-03,LT,:,:,:,:,"7,66","39,72",:,:,:,:,"1.171,75",:,:,"1.598,81","33,90","8,32",:,"8,76","681,49",:,"84,01",:,"4,45","701,85","463,41",:,:,"274,79"
2009-03,LU,"0,65","1.776,70","117,16",:,:,"2.698,10","76,20",:,:,"431,45",:,"430,66",:,:,"22,62","544,51",:,:,:,:,"2.414,11","490,25","9,00",:,"127,58",:,"151,52","519,24"
2009-03,LV,"651,05",:,:,:,"3,13","14,84",:,:,:,:,"360,92",:,:,"848,43",:,:,"429,23",:,:,:,:,"1,44",:,:,"170,96",:,:,"185,21"
2009-03,MT,:,:,:,:,:,"13,73","3,61",:,:,:,"491,40","19,53",:,:,:,"63,30",:,:,:,:,:,:,:,:,"3,98",:,:,"111,17"
2009-03,NL,"28,58","10.152,51","0,01",:,"18,54","1.472,47","20,68",:,"1,15","17,20","8.153,13","1.752,74",:,"16.889,86","10.045,76","210,46","0,09","1,62",:,"0,31",:,"1,54","112,30","2.692,33","2.059,89","0,24","0,16","3.431,23"
2009-03,PL,"7.657,82","0,30",:,:,"1.266,11","4.595,56","372,73",:,:,"23,47","10.853,47","33,38",:,"16.161,65","2.138,60","32,89",:,"2,14",:,:,"400,12",:,"62,71","1.099,82","9.964,79",:,"6,43","328,22"
2009-03,PT,:,"31,44",:,:,"13,38","28,03",:,:,:,"669,90","3.294,29","145,69",:,"6.780,07",:,:,:,"14,88",:,:,"2.396,46",:,:,"2.878,54","222,04",:,:,"288,17"
2009-03,RO,"4.882,26","9,29","306,47",:,"82,81","313,79",:,:,"0,18",:,"3.594,33","87,96",:,"11.764,30",:,"45,31",:,:,:,:,"58,87","21,50","1,76",:,:,:,:,"85,82"
2009-03,SE,"0,24",:,:,:,"18,35","325,45","84,51",:,:,:,"2.825,57","11,37","0,30","3.412,10","8.242,04",:,"159,11","0,35",:,:,"37,98","13,43",:,"319,49",:,:,:,"63,29"
2009-03,SI,"2.578,65","0,05","4,52",:,:,"9,85",:,:,:,:,"1.852,12","467,92","0,24","0,06",:,"2.901,30",:,:,:,:,"4,93","0,78",:,:,"193,22",:,:,"58,02"
2009-03,SK,"526,17",:,:,:,"3.363,28","9,47",:,:,:,:,"3.948,10","2,30",:,"495,30",:,"861,94",:,:,:,:,"9,62","96,36",:,"14,95","2.866,01",:,:,"304,01"
2009-03,UK,"143,28","224,82","228,65","559,23","25,52","3.403,78","501,37",:,"24,70","272,70","23.746,57","2.215,48",:,"73.030,71","10.312,39","62,61",:,"0,12",:,:,"48.514,10","711,35","481,69","8.706,86","2.513,84",:,"145,88",:
2009-04,AT,:,:,"112,86",:,"518,36","1.815,72","157,21",:,"8,65",:,"9.709,27","42,89",:,"6,04","3.045,26","2.249,21",:,"0,60",:,:,"4.644,87","219,27",:,"780,65","2.553,01",:,"12,75","4.900,09"
2009-04,BE,:,:,:,:,"1,72","707,73",:,:,:,"57,51","2.097,46","82,38",:,"8.214,77","3.407,84","0,70",:,"32,29",:,:,"18.417,85",:,"53,38","2.121,10","2.434,61",:,:,"507,35"
2009-04,BG,"1.741,39","3,50",:,:,"202,74","768,95",:,:,"2,36",:,"2.869,07",:,:,"355,46",:,"101,84",:,:,:,:,"23,97",:,"2,16","137,00","357,22",:,"28,67","30,82"
2009-04,CY,:,:,:,:,:,"70,20",:,:,"554,81",:,"9,72",:,:,"169,34",:,:,:,:,:,:,:,:,:,"20,59","441,08",:,:,"50,44"
2009-04,CZ,"1.366,36","1,49","32,20","65,12",:,"4.485,17","321,12",:,:,:,"2.567,44","5,66","0,12","9.740,11","1.233,74","1.846,32","3,55","1,21","18,26",:,"364,79","490,23","69,93","1.080,79","1.384,12","175,40","768,46","868,52"
2009-04,DE,"3.760,52","55,11","628,75","250,81","4.655,70",:,"174,92",:,"38,04","226,68","14.775,37","3.330,21","0,04","42.484,47","44.451,42","3.125,78","14,16","1.346,83","27,86",:,"38.967,13","644,15","402,54","6.627,49","4.941,84",:,"188,45","19.591,99"
2009-04,DK,"39,76","50,38",:,:,"109,43","2.157,84",:,"25,67",:,"8,19","5.662,58",:,:,"10.005,51","2.825,34","228,90",:,:,:,:,"1.648,71",:,"45,49","544,57","13.126,71",:,"2,90","843,08"
2009-04,EE,:,:,:,:,"87,69","2,06",:,:,:,:,"1.437,98",:,:,:,:,:,"31,60",:,"525,19",:,:,:,:,:,"497,98",:,"496,22",:
2009-04,EL,"14.141,85",:,:,"483,15","50,35","1.297,77","5,40",:,:,:,"14.111,68","59,81",:,"152,98",:,"0,46",:,"0,00",:,:,"173,79",:,:,:,"9,82",:,:,"1.996,80"
2009-04,ES,:,:,:,:,"773,42","350,96","1,46",:,:,:,"4.896,47","123,70",:,"47.474,39","5,62","2.046,13",:,"17,27",:,:,"30.569,74",:,"399,48","3.360,98",:,:,:,"13.251,13"
2009-04,FI,:,"7,87",:,:,"150,73","72,64","5,14","467,75",:,:,:,"107,68",:,"6.965,79","1.078,00","3.400,30","30,87","1,79",:,:,"24,72","68,36","0,27","1.623,85","2.200,77",:,"18,91","462,24"
2009-04,FR,:,"27,43","46,56",:,"144,44","1.464,11","60,52",:,"0,11","67,84","13.660,74",:,:,"14.685,27","32.477,56","70,93",:,"162,35",:,:,"121.127,30","8,86","176,08","2.143,95","534,75",:,"10,52","10.643,73"
2009-04,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009-04,HU,"5.011,82",:,:,:,"45,72","728,82",:,:,:,"1.419,16","2.971,92","149,72","62,84",:,"318,03","275,35",:,"0,31",:,:,"0,23","52,20","0,13","4.814,10","180,87",:,"1,12","30,89"
2009-04,IE,:,:,:,:,:,"4,92",:,:,:,:,"3.399,19","245,55",:,"11.714,24",:,:,:,"1,49",:,:,"2.356,78",:,:,"710,05",:,:,:,"3.289,60"
2009-04,IT,"1,43","25,13",:,:,:,"1.563,52","0,78",:,:,"7,37","18.236,88","5.746,40","1,24","30.724,49","4,85",:,:,"3.957,03",:,"153,12","13.531,02",:,"61,94","8.516,08","1,35",:,:,"13.224,52"
2009-04,LT,:,:,:,:,:,"85,56",:,:,:,:,"757,88",:,:,"834,81",:,:,:,:,"635,56",:,"70,51","1,17",:,"428,37","120,85",:,"2,75","195,55"
2009-04,LU,:,"1.414,45","198,00",:,:,"3.200,46","686,41",:,:,"453,60",:,"460,13",:,:,"11,31","357,61",:,:,:,:,"2.065,07","565,63","30,91","1,73",:,:,"10,86","322,95"
2009-04,LV,"472,41",:,:,:,:,"16,80",:,:,:,:,"511,41",:,:,"240,27",:,:,"131,99",:,:,:,:,:,:,:,"432,33",:,:,"129,81"
2009-04,MT,:,:,:,:,:,"11,27",:,:,:,:,"76,59","1,69",:,:,"27,66","102,32",:,:,:,:,:,:,:,:,:,:,:,"7,67"
2009-04,NL,"18,11","8.425,66","0,12",:,"39,54","810,18","14,72",:,"1,55","7,82","7.144,78","4.189,61","0,40","16.175,60","6.864,06","112,51","0,10","2,90","0,01","0,25",:,"5,48","28,00","2.154,24","2.076,47","0,70","0,02","3.234,96"
2009-04,PL,"13.367,21",:,:,:,"1.113,84","2.543,56","160,52",:,:,"12,75","13.434,39","13,35",:,"23.134,86","5.668,82","18,32",:,"2,10",:,:,"232,33",:,"23,81","5.141,79","7.032,88",:,:,"466,73"
2009-04,PT,:,:,:,:,"10,51","71,22","2,52",:,:,"693,18","1.474,58","82,56",:,"4.467,74",:,:,:,"1,20",:,:,"1.935,29",:,:,"1.786,49","86,55",:,:,"95,70"
2009-04,RO,"10.062,36",:,"145,70",:,"89,24","714,76",:,:,:,"15,91","1.731,30","37,44",:,"13.038,42",:,"9,59",:,"1,72",:,:,"91,56",:,"17,18",:,"13,80",:,:,"17,76"
2009-04,SE,"25,22",:,:,:,:,"160,96","456,81",:,:,:,"3.263,88","34,39","0,40","3.172,09","597,97",:,"130,00","0,61",:,:,"6,99","11,11",:,"157,46",:,:,:,"287,53"
2009-04,SI,"3.838,67","9,99",:,:,:,"533,23","140,84",:,:,:,"852,89","134,53",:,:,:,"929,68",:,:,:,:,"0,27",:,:,:,"302,32",:,:,"126,55"
2009-04,SK,"167,34",:,:,:,"3.220,86","100,45","67,20",:,:,:,"4.996,71",:,:,"996,58",:,"37,26",:,:,:,:,"34,60","57,31",:,"72,25","1.036,72",:,:,"269,22"
2009-04,UK,"626,34","129,02","152,96","258,29","32,79","7.386,62","764,08",:,:,"221,66","18.850,96","672,04","0,76","84.190,26","12.812,10","285,87",:,:,:,"0,11","51.594,98","2.024,48","339,79","5.182,52","1.358,09",:,"18,33",:
2009-05,AT,:,"28,12","787,23",:,"314,09","1.683,06","7,62",:,"5,17",:,"6.114,13","222,40","3,05","153,38","2.146,70","2.079,38",:,"0,30",:,:,"3.552,64","334,72",:,"1.065,93","1.599,21",:,:,"5.361,93"
2009-05,BE,:,:,:,:,:,"636,72",:,:,:,"56,63","1.462,88","413,18",:,"4.778,06","1.369,01","0,53",:,"30,12",:,:,"11.759,58",:,"65,38","1.015,21","677,75",:,:,"647,81"
2009-05,BG,"4.779,89","1,14",:,:,"256,62","162,13",:,:,"3,63",:,"8.185,70","159,99",:,"2.269,27",:,"10,20",:,:,:,:,:,"27,43",:,"360,01","551,83",:,"4,27","53,25"
2009-05,CY,:,:,:,:,:,"53,29",:,:,"916,87",:,"73,19",:,:,"262,26",:,:,:,:,:,:,:,:,:,"50,16","351,40",:,:,"28,12"
2009-05,CZ,"1.189,24",:,:,"250,88",:,"7.052,22","215,28",:,:,"509,28","2.560,13","1,69",:,"8.559,20","435,09","1.592,04","13,11","0,59","10,19",:,"293,49","2.320,16","85,41","846,84","930,29",:,"869,53","794,30"
2009-05,DE,"4.623,84","100,19","109,08","61,75","4.754,93",:,"640,46","7,01",:,"103,09","17.404,63","3.398,50","0,03","32.518,88","3.070,08","3.776,30","12,21","1.865,89",:,:,"23.828,76","262,31","174,34","4.642,58","4.274,28",:,"183,86","23.573,30"
2009-05,DK,"43,95","31,86",:,:,"22,05","1.875,14",:,:,:,"7,61","3.869,33","32,93",:,"4.321,44","2.935,25","310,43",:,"0,30",:,:,"1.168,33","5,65","169,91","386,49","13.635,58",:,"13,55","1.217,36"
2009-05,EE,:,:,:,:,:,"7,93",:,:,:,:,"456,01",:,:,:,:,:,"6,19",:,"211,78",:,:,"0,30",:,:,"144,49",:,"547,92",:
2009-05,EL,"9.213,36",:,"481,37","727,46","5,32","933,06",:,:,:,:,"13.827,07","12,34",:,"0,97",:,"38,42",:,"1.067,67",:,:,"248,14",:,:,:,"0,08",:,:,"1.487,80"
2009-05,ES,:,:,:,:,"133,77","2.412,96","1,46",:,:,:,"6.910,96","584,94",:,"42.205,38","4,03","2.124,70",:,:,:,:,"24.045,71","43,26","433,61","5.332,44",:,:,:,"12.155,65"
2009-05,FI,"31,40",:,:,:,:,"216,23","9,88","835,38",:,"14,60",:,"1.440,80",:,"7.590,46",:,"22,02","56,77","1,80",:,:,"56,99",:,:,"931,51","1.769,38",:,:,"620,96"
2009-05,FR,:,"322,88",:,"41,54","434,04","2.864,91","115,72",:,"0,11","38,99","20.934,16",:,:,"15.671,91","17,54","326,23",:,"10,64",:,:,"94.484,65","554,03","123,53","4.449,08","1.370,41","9,26","41,96","14.694,91"
2009-05,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009-05,HU,"6.942,53","667,29",:,:,"154,75","189,93",:,:,:,"189,85","1.326,78","446,73","62,82",:,"203,37","542,09",:,"0,61",:,:,"24,66",:,"47,36","1.721,48","28,32",:,"2,04","213,12"
2009-05,IE,:,:,:,:,"17,79","2,11",:,:,:,:,"7.750,94","196,47",:,"13.836,22",:,:,:,"2,70",:,:,"1.525,50",:,:,"430,27",:,:,:,"2.713,65"
2009-05,IT,"505,93","30,56",:,:,:,"2.173,08","19,50",:,:,"0,89","25.019,03","3.123,58","1,14","25.215,71","4,18",:,:,"4.577,80",:,"47,67","18.740,68",:,"332,45","13.328,41","3,70","18,79","288,10","33.124,27"
2009-05,LT,:,:,:,:,"1,08","1.468,07","0,31","0,37",:,"8,10","536,16",:,:,"232,17",:,:,:,:,"626,03",:,"51,26","0,69","2,92","273,26","121,70",:,"7,80","155,27"
2009-05,LU,:,"1.421,62","533,36",:,:,"5.345,16","216,00",:,:,"431,49",:,"150,05",:,:,"11,31","931,68",:,:,:,:,"1.633,00","142,09",:,"4,30",:,:,:,"163,12"
2009-05,LV,"466,57",:,:,:,"0,12","35,07","0,27","523,81",:,:,"160,85","0,96",:,:,:,"197,82","7,20",:,:,:,"0,28",:,:,:,"229,46",:,:,"124,48"
2009-05,MT,:,:,:,:,:,"3,96",:,:,:,:,"97,19",:,:,"218,40",:,"5,20",:,"58,10",:,:,:,:,:,:,:,:,:,"31,60"
2009-05,NL,"15,45","5.122,82",:,:,"23,33","1.133,12","15,33",:,"0,30","3,08","5.327,30","467,85",:,"8.008,84","5.120,40","166,58","0,01","1,23",:,"0,01",:,"0,39","44,20","1.957,59","1.878,16","0,02","0,01","2.681,40"
2009-05,PL,"5.951,20",:,:,"58,36","1.173,71","1.159,31","497,88",:,:,"15,60","11.344,10","1,82",:,"7.975,52","443,81","51,45",:,"2,89",:,:,"215,50",:,"13,37","3.564,62","2.877,24",:,"6,23","1.495,27"
2009-05,PT,:,:,:,:,:,"432,27","0,67",:,:,"980,79","1.137,58","280,54",:,"6.779,90","138,40",:,:,"0,30",:,:,"2.623,68",:,:,"3.208,08","173,62",:,:,"1.639,00"
2009-05,RO,"5.465,41","0,75","746,32",:,"156,56","668,14",:,:,"29,28","31,26","3.947,67","246,71",:,"13.697,11",:,"9,19","0,10","39,27",:,:,"65,60","16,75","30,86",:,:,:,"161,67","32,99"
2009-05,SE,"21,36",:,:,:,:,"179,94","88,55",:,"0,03",:,"2.326,34","46,34",:,"1.830,29","555,61",:,"0,00","1,16",:,:,"2,47","13,79",:,"263,83",:,:,:,"412,45"
2009-05,SI,"4.369,57","4,89",:,:,"22,29","36,96","1,80",:,:,:,"938,80","360,67",:,"73,76",:,"383,56",:,:,:,:,"2,26","0,07",:,:,"665,70",:,:,"10,53"
2009-05,SK,"476,04",:,:,:,"1.722,15","136,93",:,:,:,"0,17","1.996,69","205,75",:,"1.289,00","596,43","43,65",:,:,:,:,"59,41","96,51",:,"35,52","1.410,00",:,:,"363,41"
2009-05,UK,"69,86","84,12",:,"527,07","0,71","10.588,07","112,77","3,11","246,02","583,93","21.235,86","6.132,66",:,"101.435,92","10.976,59","722,88",:,"12,92",:,:,"38.976,37","1.480,76","223,33","6.066,23","402,11",:,"95,56",:
2009-06,AT,:,"0,62","55,28",:,"156,18","2.514,89","43,57",:,"5,69","18,76","9.085,66","12,31","1,50","268,93","7.204,47","2.903,41",:,"0,56",:,:,"4.565,82","15,50",:,"2.288,76","1.445,67",:,"129,25","4.310,48"
2009-06,BE,:,:,:,:,:,"324,59",:,:,:,"63,87","1.768,57","201,09",:,"4.868,22","4.540,57","0,85",:,"54,12",:,:,"14.823,97",:,"115,48","1.685,94","1.645,72",:,:,"785,14"
2009-06,BG,"2.908,81","11,52",:,:,"214,82","281,23",:,:,"7,66","28,14","2.213,02","15,49",:,"1.058,45",:,"107,69","0,52",:,:,:,:,:,"4,16","997,39","196,47",:,:,"85,85"
2009-06,CY,"48,18",:,:,:,:,"70,31",:,:,"1.234,90",:,"42,81",:,:,"156,30",:,"2,76",:,:,:,:,"0,34",:,:,"89,75","313,14",:,:,"53,93"
2009-06,CZ,"204,90","0,68",:,"243,36",:,"9.486,71","0,04",:,:,:,"2.523,09","4,36","1,71","7.612,32","138,77","2.375,73","3,94","1,17","84,44",:,"47,16","1.688,62","16,15","694,81","1.180,70",:,"2.027,74","1.949,44"
2009-06,DE,"3.796,34","146,90","128,70",:,"5.631,59",:,"302,70",:,"2,37","710,68","23.558,53","3.238,39","0,40","32.246,04","38.450,81","1.109,97","66,65","1.487,52",:,:,"38.212,05","208,77","337,35","7.405,20","2.132,46",:,"99,27","13.630,36"
2009-06,DK,"44,99","24,13",:,:,"24,01","2.817,07",:,:,:,"10,66","3.126,26","47,12",:,"5.424,64","3.138,51","117,85",:,:,:,:,"906,82",:,"55,34","767,93","14.579,61",:,"3,82","939,11"
2009-06,EE,:,:,:,:,"0,33","9,69",:,:,:,:,"1.219,77",:,:,:,:,:,"5,51",:,"464,16",:,:,:,:,:,"244,62",:,"380,84",:
2009-06,EL,"9.440,10",:,:,"434,16","35,20","975,50","4,80",:,:,"9,35","11.340,03","182,02",:,:,:,"83,07",:,"55,68",:,:,"1.840,22",:,"3,75",:,:,:,"400,00","797,84"
2009-06,ES,:,:,:,:,"640,14","1.628,92","1,82",:,:,:,"21.104,09","886,32",:,"41.431,00","5,30","901,50",:,"3,65",:,:,"26.501,16","41,03","721,47","6.363,57",:,:,:,"8.208,97"
2009-06,FI,"54,98",:,:,:,:,"809,90","183,44","648,37",:,"1,68",:,"28,20","1,01","8.051,28",:,"34,55",:,"0,56",:,:,"96,41","17,67",:,"1.243,89","1.399,25",:,"10,49","434,25"
2009-06,FR,:,"94,94","9,24",:,"171,96","3.015,87","291,59",:,:,"36,99","13.061,21",:,:,"12.471,59","267,68","328,01",:,"4.346,31",:,:,"122.267,80","28,04","664,20","2.372,32","553,80","0,13","112,02","24.943,55"
2009-06,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009-06,HU,"3.603,02",:,:,:,"21,62","514,81","22,44",:,:,:,"2.599,36","290,93","49,17",:,"225,15","217,77",:,"0,28",:,:,"31,60","294,16",:,"2.800,58","39,14",:,"1,07","81,97"
2009-06,IE,:,"0,48",:,:,"17,57","1,84",:,:,:,:,"4.440,68","428,81","0,10","6.914,22",:,:,:,"3,38",:,:,"2.328,43",:,:,:,:,:,:,"4.188,02"
2009-06,IT,"2,56","978,01",:,"726,03","1.053,36","3.354,63","1,61",:,:,"2,23","26.120,85","6.029,60",:,"17.605,98","6,14",:,:,"2.932,42",:,"116,42","53.240,69",:,"315,39","8.254,78","1,86","194,74","438,65","5.098,01"
