PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2009-05,FI,:,:,:,:,"107,14","22,07","35,97","706,13",:,"12,70",:,"8,48",:,"3.939,58",:,:,"3,08","1,80","15,74",:,"396,56",:,"27,32","1.050,40","1.134,26",:,"93,00","16,33"
2009-05,FR,"0,00","39,52",:,:,"714,55","4.227,24","227,25","120,93","0,15","448,86","21.044,78",:,:,"26.713,03","3,36","331,56","0,07","2.379,67",:,"1,00","91.785,28","97,98","13,90","4.517,11","19,20",:,"60,80","5.093,03"
2009-05,HR,"31,17",:,:,:,:,"5,20",:,:,:,:,"498,21",:,:,"3.909,46",:,:,:,"1.423,79",:,:,:,:,:,"567,14","4,97",:,:,:
2009-05,HU,"5.825,72","7,36",:,:,"61,11","1.803,28",:,:,"193,28","6,73","1.362,59","455,35",:,:,:,"188,10",:,"0,60",:,:,"232,08","252,86","87,95","1.057,69","0,38",:,"130,70","55,54"
2009-05,IE,:,"18,73",:,:,"160,78","19,08","13,43",:,:,:,"3.734,57","182,41",:,"8.834,82",:,:,"0,08","2,70",:,:,"1.579,39",:,:,"1.080,57",:,:,:,"2.829,64"
2009-05,IT,"1.818,05","48,30",:,:,"6.992,89","12.808,42","137,32",:,:,"220,30","25.067,78","6.529,73",:,"17.682,83",:,:,"0,06","12.543,19",:,"0,65","12.023,49","1.158,17","325,29","8.883,05","2,23","575,48","40,97","2.467,60"
2009-05,LT,:,:,:,:,"47,63","1.633,00",:,:,:,:,"240,36",:,:,"231,13",:,"1,33",:,:,"913,22",:,"197,59","94,96","2,91","300,78","169,65",:,:,"187,03"
2009-05,LU,:,"405,49",:,:,:,"4.264,87","7,62",:,:,"36,00","37,48","160,89",:,"38,53",:,"201,55",:,:,:,:,"1.639,20","82,13","29,30","40,57",:,:,:,"133,32"
2009-05,LV,:,:,:,:,"80,78","299,23",:,"331,09",:,:,"120,77",:,:,"341,75",:,:,"214,13",:,:,:,"0,31","1,97",:,"30,18","191,38",:,:,"132,18"
2009-05,MT,"129,76",:,:,:,:,"934,40",:,:,:,:,"24,28","192,55",:,"134,22",:,"21,36",:,:,:,:,"0,07",:,:,"19,55","1,02",:,:,"0,27"
2009-05,NL,"55,88","1.334,59",:,:,"458,18","4.096,50","503,73",:,"6,26","114,70","4.834,41","3.393,33",:,"9.320,87","137,85","740,54","0,18","2,05",:,"2,40",:,"165,66","119,19","1.983,95","43,70",:,"1.107,27","2.947,16"
2009-05,PL,"9.459,50",:,:,:,"144,96","655,74","8,92",:,:,"41,31","9.396,69","0,78",:,"8.694,35","0,78",:,"0,20","1.277,36",:,:,"2.468,96",:,"26,18","3.104,87","1,10",:,"114,28","423,22"
2009-05,PT,:,"5,69",:,:,"72,49","819,38","177,80",:,:,"141,53","1.131,69","676,51",:,"6.609,95",:,"5,75",:,"137,30",:,:,"2.091,87","4,76",:,"2.880,04","0,06",:,:,"781,89"
2009-05,RO,"6.132,90",:,"2.603,66",:,"14,53","1.296,28","300,18",:,:,"30,66","7.944,87","285,53",:,"15.505,20",:,"62,27","0,07","353,26",:,:,"53,57","22,44","33,37",:,:,:,"682,39","1.638,68"
2009-05,SE,"0,90","28,91",:,:,:,"476,26","816,85",:,:,:,"1.032,65","81,81",:,"1.872,39",:,:,:,"2.014,96",:,:,"1.974,41","15,20","12,65","2.162,12",:,:,"12,90","196,24"
2009-05,SI,"1.250,54",:,:,:,"21,88","47,68",:,:,"0,96","1.351,46","687,85","104,22",:,"876,19",:,"4.203,18",:,:,:,:,"2,33",:,:,"216,04",:,:,:,"10,43"
2009-05,SK,"2.266,40",:,:,:,"1.639,17","698,58","11,69",:,:,:,"1.130,68","7,74",:,"3.467,77",:,"83,17",:,:,:,:,"326,92","35,79",:,"369,18",:,:,:,"41,21"
2009-05,UK,"343,68","115,44",:,:,"6.439,53","9.498,01","1.779,03",:,"109,08","269,95","20.932,18","8.792,23",:,"81.449,56","11.301,33","103,11","0,34","5.325,86","8,27","474,75","33.596,62","2.589,37","2.434,23","7.444,87","56,76",:,"74,12",:
2009-06,AT,:,"56,27","55,25",:,"264,06","2.500,82","2,66",:,:,"18,75","3.969,99","227,75",:,"5.108,40",:,"3.392,34",:,"3.277,40",:,:,"8.800,04","38,62",:,"2.642,31","3,95",:,"262,89","568,00"
2009-06,BE,:,:,:,:,:,"373,16","37,72",:,:,:,"1.771,42","3.282,06",:,"5.637,29",:,"1,00",:,"91,76",:,:,"9.515,07",:,:,"942,36","46,06",:,"119,97","70,00"
2009-06,BG,"3.862,18","11,60",:,:,"60,09","480,51","3,33",:,"7,66","10,32","362,87","118,04",:,"929,98",:,"1,42",:,:,:,:,"0,41",:,"1,90","1.292,30",:,:,:,"349,09"
2009-06,CY,"312,05",:,:,:,:,"1.204,05","202,71","462,68","569,21","150,40","42,76","100,73",:,"1.080,75",:,"5,35",:,"160,69",:,:,"0,16","40,47",:,"29,66",:,:,"2.729,33","6.410,21"
2009-06,CZ,"5.413,07","54,77",:,:,:,"14.118,90","535,39",:,:,:,"2.313,51","268,56",:,"2.824,21",:,"1.475,24",:,"1,17","85,59",:,"1,36","1.462,23","16,02","566,44",:,:,"3.431,08","1.149,99"
2009-06,DE,"3.694,29","179,47",:,:,"7.166,81",:,"595,59",:,"52,57","453,84","23.957,92","7.041,84",:,"30.421,74","7,23","3.376,27","78,06","2.143,23",:,:,"89.943,02","814,79","84,75","6.340,80","3,64","0,12","447,54","12.723,35"
2009-06,DK,"222,96","19,57",:,:,"154,37","2.060,66",:,:,:,:,"2.069,21","16,12",:,"5.799,61",:,"402,88",:,"97,50",:,:,"11,33","36,49",:,"518,55","12.974,07",:,"247,35","2.640,05"
2009-06,EE,:,:,:,:,:,"236,99","9,70",:,:,:,"481,35","0,29",:,"286,77",:,:,"23,18",:,"377,03",:,:,"14,79",:,"104,03","246,33",:,"1.097,30","246,77"
2009-06,EL,"9.541,59",:,"0,94","1.112,25","129,58","2.989,45","76,98",:,:,"9,35","2.275,97","672,87",:,"4.527,08",:,"0,13",:,"416,36",:,:,"2.464,72","0,62",:,"859,73",:,:,:,"18,24"
2009-06,ES,"91,62","25,99",:,:,"2.880,39","3.256,27","203,09",:,:,:,"20.821,20","3.031,07",:,"49.441,01",:,"1.065,58",:,"46,93",:,:,"25.664,93","62,20","2.288,32","6.426,15","1,93",:,:,"5.565,21"
2009-06,FI,:,"1,39",:,:,:,"95,91","47,72","589,99","0,22","7,08",:,"12,61",:,"7.518,02",:,"167,53","58,65","0,56",:,:,"1.044,53","36,14","14,48","1.062,77","1.493,76",:,"17,50","9,95"
2009-06,FR,"17,95","111,10",:,:,"1.226,72","4.301,22","327,94","16,64",:,"457,02","13.116,66",:,:,"19.142,25","132,71","67,08",:,"5.383,88",:,"8,25","116.176,59","78,92","561,25","2.485,59","4,96","0,67","117,72","3.913,07"
2009-06,HR,"199,46",:,:,:,"10,15","1,14","1,74",:,:,:,"623,40","2,52",:,"3.675,62",:,:,:,"280,00",:,:,:,:,:,"1.001,47","12,49",:,:,"3,39"
2009-06,HU,"6.442,45","1,91","0,12",:,"79,33","1.770,46","2,38",:,:,"1,56","3.091,20","611,88",:,:,:,"180,00","1,30","0,48",:,:,"316,43","593,14","191,10","1.844,46","0,36",:,"597,18","57,37"
2009-06,IE,:,"9,48",:,:,"16,69","9,88","17,53",:,:,:,"4.479,03","357,34",:,"7.727,01",:,"0,24",:,"1,69",:,:,"1.675,38",:,:,"845,30",:,:,:,"6.558,04"
2009-06,IT,"1.727,14","1.003,55",:,:,"4.581,27","8.922,57","144,17",:,:,"502,54","29.125,28","9.218,83",:,"18.542,68",:,:,:,"5.124,30","1.409,57","6,08","44.491,11","1.185,16","568,42","7.262,27","6,36","197,50","1.621,63","8.331,50"
2009-06,LT,:,:,:,:,"22,53","320,15",:,:,:,:,"390,61",:,:,"726,95",:,:,:,:,"1.414,12",:,"559,54","101,63",:,"356,35","103,89",:,:,"371,96"
2009-06,LU,"76,39","505,52",:,:,:,"1.763,45","10,49",:,:,:,"22,00","285,16",:,"37,47",:,"88,54","0,08",:,:,:,"1.898,54","781,13","6,09","26,74",:,:,:,"109,66"
2009-06,LV,:,:,:,:,"99,64","148,20","6,92","1.296,14",:,:,"288,66","0,38",:,"387,47",:,:,"258,64",:,:,:,"19,37","1,71","7,73","28,19","55,19",:,:,"135,68"
2009-06,MT,"171,09",:,:,:,:,"48,72",:,:,:,:,"1,65","58,08",:,"195,64",:,"114,92",:,:,:,:,:,:,:,"25,27",:,:,:,"1,78"
2009-06,NL,"79,68","1.549,91",:,:,"78,10","3.768,74","756,16",:,"6,83","127,55","20.880,80","1.972,12",:,"8.079,06","273,39","1.503,38",:,"6,89",:,"3,15",:,"52,27","164,46","2.805,33","3,01",:,"209,65","2.106,49"
2009-06,PL,"9.812,72","0,61",:,:,"299,70","1.968,06","42,79",:,:,"48,78","9.170,00","80,32",:,"15.913,10",:,"508,29","0,40","704,36",:,:,"1.099,41",:,"73,28","3.626,75","0,34",:,"95,34","614,23"
2009-06,PT,"70,21","1,91",:,:,:,"668,11","13,60",:,:,"102,23","4.153,92","545,18",:,"9.366,57",:,:,:,"1.282,57",:,:,"4.340,99","0,00",:,"4.215,10","111,02",:,:,"391,33"
2009-06,RO,"3.132,24","43,99","76,89",:,"23,65","1.037,61","341,66",:,:,"22,06","6.819,82","1.180,57",:,"5.394,35",:,"25,34","0,09","491,75",:,:,"47,40","12,91","7,71",:,"0,08",:,"1.329,04","849,42"
2009-06,SE,"0,08","35,00",:,:,"5,80","562,03","1.082,15",:,:,:,"2.700,14","112,26",:,"4.014,80",:,"0,07",:,"0,56",:,:,"1.228,06","14,80","27,46","1.012,29",:,:,"502,90","260,88"
2009-06,SI,"1.149,01",:,:,:,"37,81","246,12",:,:,:,"357,27","877,58","163,34",:,"940,13",:,"551,08",:,:,:,:,"0,35",:,:,"223,57","0,06",:,:,:
2009-06,SK,"3.920,61",:,"4,12",:,"3.817,25","825,29","12,96",:,:,"4,90","842,58","45,75",:,"5.119,58",:,"145,67",:,"0,62",:,:,"566,37","99,95",:,"529,71",:,:,:,"201,35"
2009-06,UK,"998,59","328,75",:,:,"2.631,89","12.269,08","2.067,00",:,"113,92","311,97","52.632,62","14.387,28",:,"98.023,77","8.853,50","122,00","43,86","26.237,66",:,"2,77","35.114,31","346,41","504,29","10.266,69","49,96",:,"265,98",:
2009-07,AT,:,"49,47","431,77",:,"221,91","5.222,82","3,89",:,:,:,"2.268,59","46,44",:,"7.831,73",:,"3.275,89",:,"4.772,22",:,:,"5.158,43","35,41","26,65","1.018,46","22,80",:,"289,05","125,12"
2009-07,BE,"0,18",:,:,:,:,"1.779,46","89,28",:,:,:,"1.237,87","663,31",:,"4.751,40",:,"0,55",:,"403,13",:,:,"18.830,38",:,:,"1.801,01","15,40",:,"40,50","284,94"
2009-07,BG,"4.429,69",:,:,:,"79,01","1.011,76","10,71",:,"52,80",:,"1.079,22","29,94",:,"1.506,54",:,"0,71",:,"1,15",:,:,"370,16","14,62","64,73","1.449,25",:,:,:,"246,24"
2009-07,CY,"486,74","175,47",:,:,"0,29","482,91","280,77",:,"945,51","272,47","120,12","80,10",:,"297,40",:,"12,56","0,09","626,70",:,:,"1,72","106,84",:,"69,69",:,:,"144,40","2.478,68"
2009-07,CZ,"3.206,14",:,:,:,:,"8.522,24","899,64",:,"23,10",:,"2.362,65","212,70",:,"3.189,25",:,"1.415,32",:,"2.952,56","174,21",:,"1.235,73","746,02","38,36","853,10","3,90",:,"1.153,16","326,39"
2009-07,DE,"3.713,46","666,44","671,11",:,"9.839,49",:,"632,71","455,04","210,79","114,88","17.429,28","4.551,71",:,"38.330,84","16,71","2.767,16","96,52","20.930,77",:,:,"46.108,60","939,71","133,41","5.982,49","1,86","0,69","170,96","14.023,44"
2009-07,DK,"48,96",:,:,:,"176,76","2.604,09",:,:,:,:,"4.438,19","713,37",:,"6.725,57",:,"1.458,30",:,"337,90",:,:,"4.235,14","136,62","2,91","297,87","17.849,95",:,:,"4.084,77"
2009-07,EE,:,:,:,:,:,"223,63","7,72",:,:,:,"391,24",:,:,"358,87",:,:,"15,46",:,"402,80",:,"1,22","0,05",:,"125,10","349,53",:,"7,22","3,86"
2009-07,EL,"10.967,80",:,"13,50","519,12","0,46","4.186,41","176,55",:,:,"10,34","3.959,32","1.063,79",:,"5.058,55",:,"120,57",:,"647,11",:,:,"3.676,17","30,05",:,"924,59",:,:,:,"2,31"
2009-07,ES,"8,52","5,79",:,:,"3.423,38","2.021,14","50,42",:,:,:,"21.645,10","3.335,37",:,"49.697,63","0,78","4.557,10",:,"69,40",:,:,"28.103,98","63,32","307,49","5.543,59","165,49",:,:,"956,49"
2009-07,FI,:,"0,75",:,:,:,"916,53","40,98","694,38",:,:,:,"8,27",:,"5.042,16",:,"152,06","20,74","17,54","86,12",:,"1.471,29",:,"11,87","1.137,39","2.108,32",:,"10,00","73,05"
2009-07,FR,"0,04","140,51",:,:,"470,84","2.808,26","319,68","34,35",:,"110,11","22.233,32",:,:,"24.784,09",:,"93,64",:,"23.612,37",:,:,"55.296,05","324,54","403,61","4.446,74","104,01",:,"78,40","2.000,73"
2009-07,HR,"84,58","8,24",:,:,"801,56","2,10",:,:,:,:,"1.468,48","4,21",:,"3.344,33",:,:,:,"243,25",:,:,"810,28",:,:,"815,20","6,14","2,94",:,"77,74"
2009-07,HU,"8.270,68","0,53","3,92",:,"244,55","1.019,20",:,:,"208,09","1,72","3.923,13","388,55",:,:,:,"49,41",:,"514,77",:,:,"535,88","137,58","45,27","2.080,71","0,09",:,"27,38","112,06"
2009-07,IE,:,"6,66",:,:,"256,45","1.940,19","40,06",:,:,:,"5.691,92","205,16",:,"4.965,05",:,:,:,"1.296,82",:,:,"1.921,76",:,:,"1.089,89",:,:,:,"8.491,64"
2009-07,IT,"1.666,08","137,39","188,50",:,"8.371,15","14.882,58","201,99",:,:,"674,08","27.906,37","5.608,47",:,"15.474,26",:,:,"0,09","22.555,21","1.335,74","0,07","31.739,73","1.274,05","644,48","5.804,19","5,30","261,12","552,69","5.031,04"
2009-07,LT,:,:,:,:,"144,41","950,55",:,:,:,:,"323,34",:,:,"731,03",:,:,:,:,"1.349,29",:,"587,22","34,08",:,"317,56","364,05",:,:,"132,74"
2009-07,LU,:,"4.629,22","73,50",:,:,"1.858,01","22,39",:,:,:,:,"586,64",:,"41,29",:,"925,89",:,:,:,:,"3.806,22","722,74","51,77",:,"0,86",:,:,"112,66"
2009-07,LV,:,:,:,:,"147,83","204,86",:,"1.334,31",:,:,"129,78","0,86",:,"501,65",:,"0,18","468,58",:,:,:,"231,45",:,:,"33,80","159,79",:,:,"142,75"
2009-07,MT,"87,57",:,:,:,:,:,:,:,"0,65",:,"32,38","12,71",:,"24,06",:,"41,09",:,"42,32",:,:,"0,10",:,:,:,:,:,:,"168,37"
2009-07,NL,"1,66","1.136,85","143,91",:,"28,74","4.722,39","512,52",:,:,"34,30","16.613,25","1.559,49",:,"11.291,75","25,89","1.190,91","0,60","114,13",:,"3,52",:,"22,34","253,18","1.493,51","8,94",:,"101,72","3.210,66"
2009-07,PL,"11.226,23",:,:,:,"147,57","2.379,30","18,61",:,:,"107,47","13.217,26","27,08",:,"18.684,06",:,"1.257,16",:,"3.547,22",:,:,"1.476,24",:,"72,58","3.596,35","0,49",:,"86,56","368,00"
2009-07,PT,"0,06","0,38","1,04",:,"16,85","1.470,39",:,:,"16,25","411,56","3.028,15","227,69",:,"5.915,94",:,:,:,"990,22",:,:,"5.770,75",:,:,"4.893,34","0,08",:,:,"114,64"
2009-07,RO,"3.085,12",:,"149,77",:,"44,49","812,98","810,22",:,:,"11,43","3.302,48","1.297,04",:,"5.572,93",:,"449,95","0,08","477,52",:,:,"433,02","75,49","57,93",:,:,:,"2.111,62","938,50"
2009-07,SE,:,"2,24",:,:,:,"793,45","928,40",:,:,"3,53","2.470,74","265,08",:,"3.500,84",:,"132,41",:,"4.940,92",:,:,"6.425,68","60,68","82,55","718,21",:,:,"120,40","417,35"
2009-07,SI,"1.023,26",:,:,:,"38,45","371,83",:,:,:,"707,85","702,29","333,19",:,"205,07",:,"554,56",:,"2,76",:,:,"13,54",:,:,"204,26",:,:,:,"59,16"
2009-07,SK,"2.509,89",:,"65,40",:,"3.526,22","531,91","19,49",:,"8,00",:,"949,42","14,99",:,"2.783,04",:,"437,93",:,"184,32",:,:,"177,01","177,13","43,23","1.138,40",:,:,:,"181,19"
2009-07,UK,"432,67","71,62",:,:,"4.281,26","7.870,17","1.801,04",:,"68,00","165,10","50.076,64","9.428,63",:,"87.770,58","8.626,03","1.276,45","9,90","48.940,03",:,"5,25","40.461,06","1.247,13","450,21","6.418,93","13,95",:,"40,46",:
2009-08,AT,:,"28,46","407,73",:,"40,29","3.864,87","17,97",:,:,:,"2.114,89","44,34",:,"2.765,08",:,"1.602,93",:,"3.602,94",:,:,"2.674,28","24,58",:,"1.647,40","2,40",:,"55,73","307,54"
2009-08,BE,:,:,:,:,"0,08","352,46","13,34",:,:,:,"1.227,55","783,91",:,"5.596,64",:,"7,03",:,"156,59",:,:,"8.797,47","0,02",:,"1.254,99","16,93",:,"12,45","823,82"
2009-08,BG,"4.980,94",:,:,:,"25,84","563,76","8,10",:,"5,24","34,50","959,15","1,73",:,"2.380,47",:,"1,64",:,"16,23",:,:,"326,02",:,"50,79","1.501,41",:,:,"81,97","226,37"
2009-08,CY,"539,25",:,:,:,:,"725,86","363,56",:,"109,64",:,"90,52","43,82",:,"448,74",:,"447,30",:,"275,71",:,:,"1,59","356,15",:,"566,70",:,:,"123,87","8.733,18"
2009-08,CZ,"4.961,22","1,58",:,:,:,"9.861,93","929,81",:,:,:,"2.171,97","125,85",:,"2.789,29",:,"169,40",:,"2.986,99",:,:,"1.062,24","1.088,22","20,26","802,03","183,84",:,"1.839,55","252,39"
2009-08,DE,"4.135,57","390,84","382,86",:,"11.806,41",:,"443,57","17,73",:,"34,74","18.353,42","5.159,59",:,"33.967,22","4,48","1.631,40","35,20","1.271,20",:,:,"63.317,18","725,74","40,19","6.601,21","1,30","14,40","552,71","7.557,74"
2009-08,DK,"258,85",:,:,:,"458,10","4.892,85",:,:,:,"113,56","2.735,29","162,96",:,"5.518,99",:,"288,62",:,"21,81",:,:,"2.593,56","788,11","14,19","225,47","16.058,29",:,"24,00","2.989,79"
2009-08,EE,:,:,:,:,:,"64,53","11,71",:,:,:,"487,48","1,27",:,"509,59",:,:,"16,36","0,39","491,58",:,"3,00",:,:,"222,90","603,73",:,"295,81","64,69"
2009-08,EL,"10.665,04","0,63","1,80","275,61",:,"1.774,97","256,87",:,:,"1,25","2.330,51","946,30",:,"5.206,83",:,"0,16",:,"1.287,30",:,:,"1.517,73","4,97",:,"1.459,19",:,:,:,"74,12"
2009-08,ES,:,"21,63",:,:,"1.869,15","1.084,47","65,29",:,:,:,"16.075,42","3.957,34",:,"40.314,30","3,10","1.863,27",:,"269,73",:,:,"15.619,85","71,18","486,33","4.066,56","0,41",:,"3,10","1.315,94"
2009-08,FI,:,:,:,:,"3,13","75,67","42,44","235,28",:,:,:,"15,53",:,"4.430,25",:,:,"5,26","17,86",:,:,"2.499,45",:,"62,38","1.186,22","1.791,90",:,:,"14,01"
2009-08,FR,"100,50","18,46","14,57",:,"726,45","3.797,59","334,54","26,46",:,"52,94","12.231,22",:,:,"18.235,01","0,71","182,79","1,37","17.380,07",:,"2,85","56.128,69","259,11","24,30","2.717,62","1,36",:,"119,18","13.739,30"
2009-08,HR,"130,73","0,29",:,:,:,:,:,:,:,:,"1.924,03","2,59",:,"3.197,67",:,:,:,:,:,:,"275,71",:,:,"1.132,72","5,90","30,42",:,"2,96"
2009-08,HU,"10.237,33","1,87","2,92",:,"15,65","749,73",:,:,"152,16","0,84","1.491,53","99,43",:,:,:,"42,71",:,"747,37",:,:,"244,50","510,31","109,52","2.046,43","0,14",:,"32,68","57,95"
2009-08,IE,:,"5,63",:,:,:,"1,03","43,05",:,:,"0,20","7.708,79","102,63",:,"7.626,64",:,:,:,"712,53",:,:,"2.201,79",:,:,"833,02",:,:,:,"7.099,36"
2009-08,IT,"3.074,63","114,86","25,93",:,"2.810,84","3.622,07","92,41",:,:,"1.207,63","23.879,22","2.630,74",:,"15.964,37","0,30",:,:,"18.841,30","298,58","1,57","13.704,31","1.041,60","45,40","3.709,74","1,14","453,59","875,41","2.158,13"
2009-08,LT,:,:,:,:,"89,49","874,48","19,05",:,:,:,"469,39",:,:,"847,60",:,:,:,:,"1.082,17",:,"786,46","284,03",:,"728,02","719,71",:,:,"215,87"
2009-08,LU,:,"1.463,53","168,00",:,"99,98","2.605,59","23,35",:,:,:,:,"161,86",:,"98,38",:,:,:,:,:,:,"3.167,99","871,90","12,35","39,46",:,:,:,"10,30"
2009-08,LV,:,:,:,:,"116,54","166,18","4,16","292,52",:,:,"286,97","0,27",:,"646,54",:,"2,40","406,06","30,11",:,:,"11,87","13,37",:,"153,25","108,43",:,:,"107,45"
2009-08,MT,:,:,:,:,:,"0,33",:,:,"32,50",:,"15,54","0,82",:,"93,94",:,"66,71",:,"70,04",:,:,"0,64",:,:,"14,85","0,59",:,:,"26,11"
2009-08,NL,"1,60","1.364,85","99,95",:,"392,33","5.301,06","645,48",:,"0,21","132,12","13.147,32","774,99",:,"8.790,50","93,19","858,22",:,"535,01",:,"8,93",:,"195,73","255,44","1.492,31","4,92",:,"40,58","3.430,18"
2009-08,PL,"7.154,66","3,79",:,:,"187,76","750,55","14,61",:,:,"63,49","6.078,18","970,72",:,"13.455,24",:,"0,23",:,"2.250,78",:,:,"1.061,96",:,"53,73","3.279,94","0,23",:,"98,75","161,10"
2009-08,PT,"93,85","2,19",:,:,"24,59","564,12","35,21",:,:,"65,14","865,85","48,36",:,"4.305,14",:,"1,89",:,"1.076,67",:,:,"1.081,51",:,:,"1.056,59","0,04",:,:,"432,03"
2009-08,RO,"2.587,56",:,"392,38",:,"38,34","124,70","1.306,78",:,"0,51",:,"3.053,72","1.780,84",:,"5.040,19",:,"18,27",:,"490,44",:,:,"355,58","47,49","33,77",:,:,:,"2.494,84","43,85"
2009-08,SE,"10,24","206,00",:,:,:,"347,39","962,93",:,:,"22,41","1.844,34","32,54",:,"1.946,18",:,"59,00",:,"8.743,63",:,:,"2.445,44","51,11",:,"537,91",:,:,"332,70","45,28"
2009-08,SI,"977,19",:,:,:,"32,32","268,73",:,:,:,"165,75","781,05","1,93",:,"415,30",:,"449,56",:,"28,00",:,:,"29,78","0,30",:,"168,02",:,:,:,"285,02"
2009-08,SK,"3.550,05",:,"5,10",:,"2.599,22","487,06","19,98",:,:,:,"1.036,91","21,38",:,"3.431,32",:,"81,40",:,"50,16",:,:,"79,27","732,44","5,37","1.175,37",:,:,:,"384,69"
2009-08,UK,"458,23","61,45",:,:,"1.512,04","8.204,10","1.682,95",:,"446,57","238,44","44.121,23","7.733,64",:,"89.199,07","7.563,85","694,71","60,44","25.314,11",:,"6,22","41.511,13","468,52","349,70","5.041,90","1,67","8,17","186,46",:
2009-09,AT,:,"21,55","38,76",:,"99,22","2.398,82","3,11",:,:,:,"1.358,92","176,96",:,"4.302,94",:,"4.881,04",:,"7.660,15",:,:,"3.354,57","29,69",:,"2.946,17","2,86",:,"363,24","1.711,90"
2009-09,BE,"8,88",:,:,:,:,"825,29","21,66",:,:,:,"889,09","676,20",:,"3.163,37",:,"11,85",:,"194,19",:,:,"23.402,78",:,:,"859,45","36,40",:,"60,85","330,56"
2009-09,BG,"3.810,25","1,43",:,:,"187,58","582,67","10,01",:,"0,23",:,"1.285,62","56,14",:,"2.733,48",:,"0,12",:,"51,20","38,64",:,"141,60","10,46","58,01","1.594,61",:,:,:,"200,77"
2009-09,CY,"194,58",:,:,:,"26,53","498,08","312,47",:,"1.268,80",:,"60,93","25,59",:,"239,17",:,:,:,"136,12",:,:,"56,91","506,06",:,"70,72",:,:,"2.046,67","6.641,93"
2009-09,CZ,"6.033,68",:,"32,21",:,:,"13.970,98","1.088,45",:,:,:,"2.610,21","157,53",:,"3.382,29",:,"1.007,69","0,06","4.913,97","222,43",:,"959,30","1.131,44",:,"834,31","60,90",:,"2.910,97","411,44"
2009-09,DE,"5.568,13","329,82","76,28",:,"10.589,25",:,"551,80","336,85","217,69","52,43","17.371,60","8.823,01",:,"45.800,80","16,79","1.240,56","9,80","1.873,37","2,96",:,"126.496,10","1.237,49","182,68","7.127,70","151,21","5,36","233,75","10.453,76"
2009-09,DK,"104,65","0,75",:,:,"60,76","2.204,48",:,"181,68",:,"12,90","3.616,67","268,82",:,"6.990,13","1,03","346,80","0,85","303,43",:,:,"10.898,49","708,62","253,07","463,14","18.327,07",:,:,"4.058,95"
2009-09,EE,:,:,:,:,:,"118,49","12,65",:,:,:,"970,77","1,66",:,"376,82",:,"4,79","17,84",:,"712,45",:,"2,05","0,57",:,"211,34","430,96",:,"550,22","4,68"
2009-09,EL,"11.187,42","7,25","1,24",:,"0,09","2.326,04","142,77","1,33",:,"3,98","1.616,96","1.429,74",:,"5.612,59",:,"3,78",:,"3.932,47",:,:,"1.944,22","33,61",:,"1.955,54","37,12",:,:,"119,03"
2009-09,ES,:,"0,83",:,:,"527,06","9.764,84","91,42",:,:,:,"8.850,13","4.218,87",:,"43.786,49","4,92","963,60",:,"50,90",:,:,"26.649,63","35,66","268,69","5.935,13","178,26",:,"3,82","3.576,25"
2009-09,FI,:,"1,83",:,:,"3,49","165,29","64,24","410,01",:,"7,08",:,"127,68",:,"5.024,62",:,"2,10","58,22","2,49",:,:,"1.393,21",:,"57,46","1.076,77","2.117,38",:,"37,61","52,52"
2009-09,FR,"22,58","8,54","20,63",:,"254,29","4.519,59","187,50","9,39",:,"113,36","15.309,04",:,:,"22.620,97","5,46","363,98",:,"39.782,73",:,:,"177.973,21","160,50","106,25","5.357,59","28,17",:,"230,16","9.392,81"
2009-09,HR,"254,41","0,36",:,:,"142,23","5,67",:,:,:,:,"382,10","1,50",:,"4.620,13",:,:,:,:,:,:,"1.834,69",:,:,"1.518,96","5,05","1,75",:,:
2009-09,HU,"8.530,57","2,39",:,:,"116,19","688,00","2,97",:,"223,34","0,71","4.301,60","343,43",:,:,:,"78,25",:,"654,41",:,:,"794,88","39,58","78,18","1.414,43","0,34",:,"139,13","234,11"
2009-09,IE,:,"6,27",:,:,"16,70","8.228,31","51,56",:,:,:,"11.228,19","17,76",:,"9.048,19",:,:,:,"3.840,21",:,:,"1.389,70","24,49",:,"978,34",:,:,:,"10.714,80"
2009-09,IT,"3.006,54","378,95",:,:,"11.692,76","12.479,74","97,69",:,"3,37","752,39","12.781,09","4.471,41",:,"19.575,56",:,:,:,"47.780,68","329,61","1,88","22.094,51","2.282,56","344,37","4.068,35","7,10","1.353,82","1.890,50","11.440,56"
2009-09,LT,:,:,:,:,"83,38","817,68",:,:,:,:,"227,03",:,:,"992,64",:,:,:,:,"655,49",:,"647,70","183,50",:,"906,05","357,89",:,:,"255,50"
2009-09,LU,:,"1.200,98","55,50",:,:,"2.782,50","29,07",:,:,:,"4,10","423,18",:,"111,95",:,"275,14",:,:,:,:,"627,73","1.016,19",:,"18,03",:,:,:,"596,20"
2009-09,LV,:,:,:,:,"131,17","463,51","9,39","324,10",:,:,"216,85","3,66",:,"600,11",:,"3,83","2.332,10",:,:,:,"128,51","1,77","7,04","204,14","298,28",:,:,"69,29"
2009-09,MT,"68,34","1,12",:,:,:,"1,62",:,:,:,:,:,"11,07",:,"89,31",:,"122,70",:,"42,32",:,:,"42,97",:,:,"11,22",:,:,:,"17,87"
