PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-02,AT,:,"3,28",:,:,:,"6.860,89","391,71",:,:,"71,75","2.542,29","61,45",:,"4.142,36","214,46","6.044,38",:,"2,55",:,:,"2.907,38","0,11",:,:,"21,16","1,70",:,"209,26"
2007-02,BE,:,:,:,:,"2,51","3.657,49","767,29",:,:,:,"1.389,26","837,80",:,"4.372,20","7,30","0,37",:,"540,96",:,:,"2.959,45",:,:,:,"0,13",:,:,"44,52"
2007-02,BG,:,:,:,:,"83,36","3.007,27","50,58",:,:,"2,94","1.631,33","266,06",:,"1.749,37",:,:,:,"71,83",:,:,"118,50",:,:,"145,15","92,76",:,"1,75","164,05"
2007-02,CY,:,:,:,:,"27,94","391,34","40,32",:,"19,97",:,"223,36","112,95",:,"87,02",:,:,:,"16,49",:,:,"1,14",:,:,:,"0,12",:,:,"7,22"
2007-02,CZ,:,"0,12",:,"16,48",:,"4.719,20","84,00",:,:,"671,51","2.902,07","101,15",:,"12.447,62","141,59","1.994,85",:,"152,86",:,:,"31,03","49,26","51,03","95,11",:,:,"3.537,92","164,14"
2007-02,DE,:,"2.725,77","2,88","6,16","354,18",:,"4.571,65","82,68",:,"92,50","48.957,60","6.069,40",:,"39.135,52","1.935,36","1.812,36","23,90","1.801,59",:,"1,13","32.056,38","1.828,55","5,87",:,"51,18","6,77",:,"4.135,89"
2007-02,DK,:,"239,03",:,:,"1,86","4.222,92",:,:,:,:,"4.044,98","131,46",:,"3.405,46","121,34","410,12",:,"500,26",:,:,"150,12",:,"134,72",:,"5.480,90",:,:,"1.864,58"
2007-02,EE,:,:,:,:,"5,81","674,78","6,49",:,:,:,"411,42","3,14",:,"734,67",:,:,"812,96",:,"454,27",:,:,"1,29",:,:,"735,12",:,"1,96","5,19"
2007-02,EL,:,"1,85","1,38","262,94","4,09","10.605,99","450,02",:,:,"0,07","3.480,70","1.087,06",:,"4.848,46","0,89","20,10",:,"26,08",:,:,"8,59",:,:,:,"17,75",:,:,"20,15"
2007-02,ES,:,"21,93",:,:,"55,53","46.915,11","3.452,34",:,:,:,"25.992,62","6.136,27",:,"33.911,65","898,00","2.223,37",:,"796,75",:,:,"8.988,49",:,"1.732,53",:,"2,02",:,:,"1.484,95"
2007-02,FI,:,"214,69",:,:,:,"22.190,67","171,03","474,64",:,:,:,"48,68",:,"1.838,74","2,50",:,:,"13,42",:,:,"12,77",:,:,:,"955,04","10,48",:,"5,88"
2007-02,FR,:,"265,17",:,:,"27,77","38.669,48","3.844,17",:,"4,13","169,17","15.629,61",:,:,"11.251,97","2.535,88","7.008,64",:,"1.622,06",:,"6,45","19.746,66","0,24","863,47",:,"226,21",:,:,"838,86"
2007-02,HR,:,:,:,:,:,"1.291,64","5,44",:,:,:,"1.849,04","209,67",:,"874,37",:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-02,HU,:,"0,06","2,56",:,"359,25","7.850,50","92,06",:,"21,04","0,29","12.098,46","435,54",:,:,"26,17","44,96",:,"7,29",:,:,"122,11",:,"0,09","40,78","0,03",:,"149,48","148,15"
2007-02,IE,:,"0,34",:,:,"11,12","8.965,80",:,:,:,:,"5.913,50","166,46",:,"2.508,05",:,:,:,"17,67",:,"0,26","1.835,83",:,:,:,:,:,:,"941,74"
2007-02,IT,:,"36,95",:,:,"5.555,49","55.753,54","3.180,87",:,:,"1.696,00","27.073,17","16.622,15",:,"13.715,59","1.131,72",:,:,"3.434,72",:,"6,68","9.200,68",:,"35,17",:,"0,47","51,41",:,"1.860,06"
