PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2013-08,Daenemark,:,"5,07",:,"7.490,61",:,"0,36","0,39","13,62",:,:,:,:,"455,17",:,"16,25",:,:,"46,40",:,:,:,"6.439,76","7,58","20,83","207,87",:,:,"43.954,84","0,56","0,49",:,"241,23"
2013-08,Deutschland,:,"4.369,86",:,:,"4.417,30","5.675,70","309,26","9.943,52",:,:,"640,03",:,"74,33",:,"2.369,22","1.882,34",:,"729,45","17.745,65","1.523,08",:,"144.812,83","1,72","6.356,72","42.047,63","833,98",:,"854,28","654,92","636,62","1,63","17.528,57"
2013-08,Estland,:,:,:,"425,54","0,23",:,"655,11","1,09",:,:,:,:,"126,00",:,:,"2.919,20",:,"455,69",:,:,:,"0,40",:,:,"2.421,03",:,:,"1.223,20","0,19",:,:,"356,95"
2013-08,Finnland,:,"0,34",:,"2.715,53","19,59","397,75",:,"2,52",:,:,:,:,"3.160,90",:,"86,54","537,31",:,:,:,:,:,"3.779,42",:,"51,25","1.178,35",:,:,"21.342,81",:,:,:,"288,94"
2013-08,Frankreich,:,"2.245,54",:,"20.005,06","68,09",:,"66,05",:,:,:,:,:,"683,80",:,"306,00","384,77",:,:,"33.849,65","99,90",:,"72.783,25","1,08","368,47","106,97","83,47",:,"4.508,06","570,90","229,30","1,75","5.807,08"
2013-08,Griechenland,:,:,:,"6.170,03",:,:,"0,90","1.118,30",:,:,:,:,"62,30",:,"3,30",:,:,:,:,:,:,"874,03",:,"2.386,18","2,10",:,:,:,:,:,:,"408,93"
2013-08,Irland,:,:,:,"1.463,69",:,:,:,"359,81",:,:,:,:,:,:,"2,92",:,:,:,:,:,:,"1.033,02",:,"35,40",:,:,:,"54,19","0,70","2,04",:,"11.447,19"
2013-08,Italien,:,"0,06",:,"21.725,62","6,71",:,"1,43","3.407,74",:,:,:,:,"243,50",:,:,"779,95",:,"1.014,87","40.041,44","255,60",:,"25.974,34",:,"1.103,39","3.618,99","2.385,31",:,"2,05",:,"973,24","1,40","9.858,03"
2013-08,Kroatia,:,:,:,"0,20","3,88",:,"6,16","0,00",:,:,:,:,:,:,"2,58",:,:,:,:,:,:,"2.259,34",:,"2.624,51","4,32",:,:,"292,44",:,"0,00",:,"0,00"
2013-08,Lettland,:,:,:,"743,39",:,"78,62","337,93","41,59",:,:,:,:,"545,68",:,:,:,:,"4.386,53",:,:,:,"73,23",:,"229,57","7.543,97",:,:,"344,60",:,:,:,"275,74"
2013-08,Litauen,:,:,:,"116,36",:,"98,23","2.209,92","0,30",:,:,:,:,"252,00",:,:,"10.151,69",:,:,:,:,:,"29,14",:,"127,40","2.578,83",:,:,"1.140,02",:,"283,20",:,"252,94"
2013-08,Luxemburg,:,"7.126,02",:,"1.433,66",:,:,"251,11","1.180,39",:,:,:,:,:,:,:,:,:,"295,53",:,:,:,"1.176,23",:,"47,13","9,88","0,38",:,:,"0,08","1,35",:,"17,81"
2013-08,Malta,:,:,:,"67,99",:,:,:,"0,61",:,:,:,:,:,:,"451,95","17,98",:,:,:,:,:,"94,50",:,:,:,:,:,:,:,"1,50",:,"23,54"
2013-08,Niederlande,:,"916,44",:,"12.618,47","22,91",:,"0,52","1.024,97",:,:,:,:,"27.924,71",:,"15,96","2.777,93",:,"332,78","0,32",:,:,:,"1.026,24","171,15","2.953,79","0,00",:,"919,14","1.528,19","333,75","0,98","1.634,68"
2013-08,Oesterreich,:,:,:,"8.837,12","366,83",:,"0,72","466,29",:,:,"0,18",:,"4.172,23",:,"645,80",:,"0,32",:,:,:,:,"3.988,79","0,04",:,"6.966,80",:,:,"1.010,50","5,53","24,05","0,05","1.006,58"
2013-08,Polen,:,"0,01",:,"18.254,07","273,60",:,:,"3.451,66",:,:,:,:,:,:,"900,73","44,93",:,"315,01",:,"43,03",:,"11.322,84","1,65","14.850,45",:,:,:,"3.396,89","0,45","0,36","0,39","1.302,77"
2013-08,Portugal,:,:,:,"3.599,25",:,:,"0,43","526,18",:,:,:,:,"5.649,00",:,"317,37",:,:,"5,01","602,63",:,:,"6.415,00",:,"106,89",:,:,:,"1,70","8,93","258,43",:,"334,08"
2013-08,Rumanien,:,:,:,"4.780,56","22,40",:,:,"539,99",:,:,"22,14",:,:,:,"0,94","14,26",:,"4,76","1.141,23",:,:,"3.253,65",:,"3.223,96","29,77","7,24",:,"23,29",:,:,"1,07","247,53"
2013-08,Schweden,:,:,:,"4.566,89","3.616,55",:,"5.584,84","235,18",:,:,:,:,"5.725,25",:,"40,79",:,:,"9,56",:,:,:,"50.905,13","514,65","2,84","73,01",:,:,:,"16,22",:,"0,46","1.944,74"
2013-08,Slowakei,:,:,:,"4.556,14",:,:,"1.040,46","24,18",:,:,:,:,"1.226,70",:,"39,49","906,29",:,"198,05","20,00",:,:,"27,43",:,"259.391,61","19.967,63","270,30",:,"1.291,06",:,"1.388,64",:,"4.701,44"
2013-08,Slowenien,:,"652,08",:,"1.277,63",:,:,:,"377,66",:,:,:,:,:,:,"2,51",:,:,:,:,:,:,"0,82",:,"4.826,39","0,91",:,:,"383,35",:,"105,56",:,"11,54"
2013-08,Spanien,"0,04",:,"10,27","7.393,80","11,53","2,74","1,95","2.478,32",:,:,:,:,"15.644,65",:,"3.141,13","197,22",:,:,"9,96",:,"5,78","55.340,83","2,28","111,16","158,55","881,77",:,"825,53","6,44",:,"53,42","5.037,02"
2013-08,Tschechische Republik,:,"0,26",:,"10.202,24","41,53","7,80",:,"263,48",:,:,"648,67",:,"541,41",:,"23,00","342,13",:,"4,34",:,"591,21",:,"1.564,03","0,34","1.426,82","13.769,02","54,44",:,"2.904,19","75,99",:,"51,82","1.875,14"
2013-08,Ungarn,:,"2,08",:,"1.251,36",:,:,:,"813,86",:,:,:,:,:,:,"226,12",:,:,"1.272,90","1.027,89",:,:,"2.090,96",:,"2.254,67","1.119,86",:,:,"5.139,11","0,43","1,84",:,"215,32"
2013-08,Ver.Koenigr.,:,"268,20",:,"16.644,10","108,57",:,"271,45","9.993,31",:,:,"1.289,06",:,"37.415,90",:,"84,55","1.048,58",:,"577,83","5,53","344,41",:,"186.313,06","25,06","274,15","9.627,17","681,06",:,"5.931,41","341,95","2.525,15","6,83",:
2013-08,Zypern,:,:,:,"876,84",:,:,:,"0,64",:,:,"2.963,07",:,:,:,"26,05","29,06",:,:,:,:,:,"32,82",:,"368,15",:,"10,31",:,:,:,:,:,"197,04"
2013-09,Belgien,:,:,:,"5.285,32","666,44","67,23","19,98","859,36",:,:,:,:,"14,23",:,"443,14","122,50",:,:,"49,02","28,42",:,"27.194,46",:,"42,02","221,16",:,:,"220,99","4,68","38,47",:,"3.911,91"
2013-09,Bulgarien,:,:,:,"2.175,57",:,:,:,"340,17",:,:,"19,71",:,"86,50",:,:,"61,80",:,:,:,:,:,"726,80",:,"737,10","14,55",:,:,:,:,:,"0,25","576,36"
2013-09,Daenemark,:,:,:,"6.081,52",:,:,"0,78","9,10",:,:,:,:,"353,05",:,"8,43",:,:,"49,45",:,:,:,"5.430,35","0,87","0,30","168,19",:,:,"42.069,19","67,03","127,59","0,22","297,49"
2013-09,Deutschland,:,"229,82",:,:,"9.768,53","4.301,42","178,19","28.393,34",:,:,"855,39",:,"264,39",:,"2.966,17","1.105,16",:,"1.363,88","18.554,59","221,49",:,"187.096,23","0,43","8.459,25","49.992,53","1.584,49",:,"2.363,57","585,55","847,52","11,44","23.199,13"
2013-09,Estland,:,:,:,"691,95","0,17",:,"731,87",:,:,:,:,:,"211,40",:,:,"3.845,90",:,"365,99",:,:,:,"0,14",:,"51,15","2.538,54",:,:,"1.126,53",:,:,:,"252,34"
2013-09,Finnland,:,"6,50",:,"2.768,82","41,38","101,69",:,"14,23",:,:,:,:,"2.859,40",:,:,"480,44",:,"6,39",:,:,:,"3.207,10","1,59","114,19","612,45",:,:,"18.987,78",:,:,:,"365,47"
2013-09,Frankreich,:,"1.665,16",:,"26.222,47","251,45",:,"48,34",:,:,:,"172,03",:,"2.209,11","0,24","207,73","82,26",:,:,"95.503,26","99,90",:,"179.348,61","0,81","153,29","882,54","361,72",:,"4.113,44","451,52","239,05","2,70","3.525,73"
2013-09,Griechenland,:,:,:,"4.314,70",:,:,"1,39","483,92",:,:,:,:,:,:,"2,72",:,:,:,:,:,:,"987,80",:,"7.335,74","5,10","13,80",:,:,:,"0,42",:,"35,22"
2013-09,Irland,:,:,:,"6.695,18",:,:,"0,14","585,26",:,:,:,:,:,:,"66,29",:,:,:,:,:,:,"252,50","4,62","41,30","0,34",:,:,"310,86",:,"4,57",:,"11.696,82"
2013-09,Italien,:,"291,32",:,"31.901,10","154,28","36,36","2,69","2.751,92",:,:,"29,58",:,"5,25",:,:,"627,05",:,"2.947,20","14.801,31","749,72",:,"28.718,29","25,05","1.698,14","2.703,93","688,45",:,"3,91",:,"1.207,25",:,"17.162,59"
2013-09,Kroatia,:,:,:,"31,06","0,00",:,"24,77","0,00",:,:,:,:,:,:,"18,40",:,:,:,:,:,:,"818,31",:,"2.709,90","0,00",:,:,"68,20",:,"0,00","3,01","0,00"
2013-09,Lettland,:,:,:,"179,00","0,22","65,90","640,07","3,05",:,:,:,:,"93,48",:,:,:,:,"3.692,82",:,:,:,"0,62",:,"608,63","7.767,49",:,:,"187,53",:,:,:,"749,01"
2013-09,Litauen,:,:,:,"358,75","572,40","86,95","1.565,49","0,52",:,:,:,:,"179,55",:,"362,67","9.756,14",:,:,:,:,:,"26,04",:,"22,14","5.574,92",:,:,"345,68",:,:,:,"229,34"
2013-09,Luxemburg,:,"5.327,70",:,"1.214,84",:,:,"276,33","2.215,25",:,:,:,:,"0,33",:,"0,17","58,48",:,:,:,:,:,"1.658,95",:,"10,41","242,16","5,12",:,:,:,"0,68",:,"4,65"
2013-09,Malta,:,:,:,"31,11",:,:,:,"1,53",:,:,:,:,:,:,"606,77",:,:,:,:,:,:,:,:,"64,40","3,45",:,:,:,"0,38",:,:,"93,68"
2013-09,Niederlande,:,"432,20",:,"9.770,61","8,03",:,"0,82","835,40",:,:,:,:,"5.822,48",:,"219,38","871,31",:,"234,89",:,:,:,:,"533,22","19,75","3.792,72","0,15",:,"3.779,23","941,31","10,46","128,52","3.284,32"
2013-09,Oesterreich,:,:,:,"8.564,62","567,76",:,"0,71","123,10",:,:,:,:,"437,33",:,"616,65",:,:,"388,18",:,:,:,"4.545,22","1,28",:,"9.984,77",:,:,"1.145,96","2,97","30,89","0,10","1.526,51"
2013-09,Polen,:,"1,10",:,"25.062,42","339,73",:,"2,17","3.397,14",:,:,:,:,"0,53",:,"3.601,55","99,88",:,:,:,:,:,"5.467,04","0,37","11.785,11",:,:,:,"2.394,23","0,08","0,90","0,05","159,36"
2013-09,Portugal,:,:,:,"1.610,07","1,61",:,"13,96","1.834,29",:,:,:,:,"1.270,98",:,"209,10",:,:,:,"631,15",:,:,"4.110,08",:,"100,96","0,09",:,:,"0,06",:,"517,17",:,"682,03"
2013-09,Rumanien,:,"91,28",:,"5.699,47",:,"15,58",:,"21,91",:,:,"29,03",:,"0,23",:,"11,56",:,:,"21,31","3.041,70","25,42",:,"1.299,94",:,"3.133,36","45,44",:,:,"365,33","0,30","27,94","0,21","528,69"
2013-09,Schweden,:,"291,78",:,"10.736,40","2.352,91",:,"7.182,04","18,80",:,:,:,:,"1.026,58",:,:,:,:,"58,69",:,:,:,"26.921,26","530,85",:,"1.556,56",:,:,:,"9,32","20,14","0,18","1.291,42"
2013-09,Slowakei,:,"38,23",:,"8.097,62",:,:,"2.069,38","62,50",:,:,:,:,"198,60",:,"112,57","935,82",:,"254,01",:,:,:,"1,78",:,"241.417,86","7.262,38","97,41",:,"1.516,44","0,47","321,26",:,"2.963,11"
2013-09,Slowenien,:,"0,53",:,"1.208,76",:,:,:,"565,22",:,:,:,:,:,:,"3,31",:,:,:,:,:,:,"288,00",:,"5.415,42","43,20",:,:,"321,97",:,"5,50",:,:
2013-09,Spanien,"22,41","17,49","6,99","7.620,94","7,70",:,"3,12","3.880,04",:,:,"60,71",:,"7.088,37",:,"2.549,19","140,98",:,:,"2,79",:,"2,19","59.181,61","0,15","320,73","422,11","1.208,05",:,"8.272,36","3,55",:,:,"7.636,18"
2013-09,Tschechische Republik,:,"6,13",:,"33.027,14","128,27","5,65",:,"637,32",:,:,"47,25",:,"641,63","2,23","40,09","895,86",:,"7,98",:,:,:,"7.796,32","0,75","2.023,86","9.905,05","95,19",:,"3.715,30","198,28","0,08",:,"1.978,52"
2013-09,Ungarn,:,"2,30",:,"1.695,89",:,:,"1.435,39","583,35",:,:,:,:,:,:,"997,68",:,:,"1.196,36","603,93",:,:,"1.999,26",:,"1.849,42","2.671,08",:,:,"1.509,27","0,04",:,:,"65,80"
2013-09,Ver.Koenigr.,:,"343,99",:,"32.363,22","87,04","0,22","311,58","10.522,90",:,:,"2.285,80",:,"65.473,90","1,64","905,57","2.063,01",:,"152,72","6,27","0,66",:,"311.034,51","158,66","201,15","14.006,74","153,91",:,"19.111,30","48,68","1.982,77",:,:
2013-09,Zypern,:,"155,92",:,"752,88","36,75",:,:,"24,28",:,:,"4.504,15",:,:,:,"210,00","61,18",:,:,:,:,:,"12,57","0,65","1.227,04","186,82",:,:,:,:,:,:,"47,45"
2013-10,Belgien,:,:,:,"7.389,33","1.188,31",:,"262,40","1.185,36",:,:,:,:,"1,19",:,"439,62","120,80",:,"347,38","197,17","113,40",:,"53.351,71",:,"19,45","53,09",:,:,"711,77","0,89","3,28","0,04","3.863,35"
2013-10,Bulgarien,:,"91,72",:,"2.419,36",:,:,:,"1.117,40",:,:,"31,80",:,:,:,:,:,:,:,:,:,:,"2.816,04",:,"1.969,45","426,61",:,:,:,"0,59",:,"0,52","400,65"
2013-10,Daenemark,:,:,:,"3.103,78",:,:,"0,78","55,19",:,:,:,:,"495,44","0,37","14,82",:,:,"39,21",:,:,:,"14.267,54","3,58","2,89","200,76",:,:,"43.653,49","1,20","203,77","0,05","374,11"
2013-10,Deutschland,:,"1.658,02",:,:,"2.963,59","4.769,69","283,99","28.919,10",:,:,"1.936,02",:,"561,34",:,"2.998,55","1.389,84",:,"4.502,98","17.850,69","153,37",:,"190.276,77","3,77","13.039,19","52.305,69","1.500,20",:,"13.095,69","32,52","2.208,16","4,17","19.994,03"
2013-10,Estland,:,:,:,"718,11",:,:,"631,72","0,60",:,:,:,:,"584,22",:,:,"4.589,02",:,"43,17",:,:,:,:,"0,12",:,"1.860,33",:,:,"1.853,56","0,40",:,:,"540,49"
2013-10,Finnland,:,"0,34",:,"2.339,88","70,80","631,45",:,"36,06",:,:,:,:,"4.247,14",:,:,"289,36",:,"3,83",:,:,:,"10.355,80","0,64","11,61","520,57",:,:,"18.378,47",:,:,:,"177,68"
2013-10,Frankreich,:,"1.665,23",:,"40.489,46","150,54","66,21","51,54",:,:,:,:,:,"8.007,31",:,"332,77","68,91",:,:,"39.334,23",:,:,"167.473,12","1,30","493,32","230,26","2.447,83",:,"4.179,15","550,27","283,24","2,41","8.530,97"
2013-10,Griechenland,:,:,:,"7.805,88",:,:,"1,03","984,62",:,:,:,:,:,:,"1,55",:,:,:,:,:,:,"7.955,65",:,"5.148,04","4,60","6,99",:,:,:,:,:,"98,88"
2013-10,Irland,:,:,:,"3.343,83",:,:,"0,29","599,24",:,:,:,:,:,:,"111,25",:,:,:,:,:,:,"1.320,08",:,"70,80",:,:,:,"2.654,90",:,"4,25",:,"14.490,40"
2013-10,Italien,:,"172,29",:,"29.915,18","364,32",:,"3,33","3.872,07",:,:,:,:,"3,59",:,:,"1.354,52",:,"337,40","52.374,25","347,26",:,"34.138,40",:,"3.420,26","1.645,34","1.045,90",:,"1,09","290,02","633,95",:,"6.207,17"
2013-10,Kroatia,:,:,:,"26,48","11,64",:,"0,00","0,00",:,:,:,:,:,:,"0,91",:,:,:,:,:,:,"2.476,85",:,"2.655,10","52,61",:,:,"820,94",:,"0,00",:,"0,00"
2013-10,Lettland,:,"67,35",:,"142,42",:,"201,02","266,43",:,:,:,:,:,"688,15",:,"2,21",:,:,"5.009,34",:,:,:,"0,36",:,"317,54","6.018,83",:,:,"985,11",:,:,:,"440,06"
2013-10,Litauen,:,:,:,"101,74","19,82","4,96","2.610,74",:,:,:,:,:,"868,42","1,25",:,"11.457,52",:,:,:,:,:,"33,36",:,"19,14","2.734,18",:,:,"455,63",:,:,:,"464,13"
2013-10,Luxemburg,:,"2.391,53",:,"1.764,84",:,:,"273,13","1.780,34",:,:,:,:,"1.648,36",:,"0,67","12,74",:,:,:,:,:,"5.007,74",:,"36,12","223,45","29,29",:,:,:,"50,98","0,15","2,29"
2013-10,Malta,:,"0,05",:,"45,02",:,:,:,"1,93",:,:,:,:,"547,92",:,"768,63","0,51",:,:,:,:,:,:,:,:,:,"63,75",:,:,:,:,:,"135,69"
2013-10,Niederlande,:,"805,51",:,"16.666,61","9,16",:,"0,31","1.922,25",:,:,"74,86",:,"40.456,81",:,"295,26","1.211,02",:,"421,09","0,51",:,:,:,"6.588,76","12,57","2.037,71",:,:,"33,69","2.151,52","71,43","5,41","4.738,03"
2013-10,Oesterreich,:,"0,05",:,"12.116,40","612,83",:,"1,79","188,56",:,:,:,:,"14.053,43",:,"413,09",:,:,:,:,"399,11",:,"11.035,16",:,:,"7.889,99",:,:,"3.093,39","292,91","34,97","0,71","2.230,91"
2013-10,Polen,:,"1,05",:,"29.010,55",:,:,"0,68","4.922,63",:,:,:,:,"1,84",:,"3.293,76","5,29",:,"2,94",:,:,:,"11.999,04",:,"20.143,62",:,"33,53",:,"17.259,85","0,94","3,34","0,56","471,86"
2013-10,Portugal,:,"73,32",:,"2.324,74","1,04",:,"1,47","1.339,37",:,:,:,:,"3.347,66",:,"905,21",:,:,:,"1.497,93",:,:,"6.850,86",:,"45,95",:,:,:,"0,47","0,03","975,77",:,"452,10"
2013-10,Rumanien,:,"19,18",:,"7.166,18",:,:,:,"254,63",:,:,:,:,"1,07",:,"44,03","26,87",:,"19,96","1.336,07",:,:,"4.474,36",:,"6.139,39","52,00","82,77",:,"23,84","0,32","15,94",:,"310,78"
2013-10,Schweden,:,"101,26",:,"8.285,02","1.424,41","0,02","5.946,90","1,06",:,:,:,:,"18.256,24",:,:,"82,37",:,"154,26",:,:,:,"102.228,87","1.286,07",:,"235,41",:,:,:,"23,87","109,36","0,66","2.037,67"
2013-10,Slowakei,:,:,:,"10.208,75",:,:,"2.618,38","19,69",:,:,:,:,"2.003,40",:,"51,47","21,50",:,"220,41",:,:,:,"92,02",:,"283.003,96","3.202,47",:,:,"2.460,20","1,21","1.716,02",:,"3.228,96"
2013-10,Slowenien,:,:,:,"2.466,94",:,:,:,:,:,:,:,:,:,:,"8,54",:,:,:,:,:,:,"428,43",:,"7.667,60","23,12","0,84",:,"925,43",:,"0,91",:,"231,13"
2013-10,Spanien,"1,31",:,"3,44","9.031,73","20,33",:,"10,14","4.136,93",:,:,"25,68",:,"5.717,08",:,"9.438,05","101,80",:,:,"1.209,90","0,19","12,52","61.507,60","0,03","177,64","191,21","867,63",:,"9.555,55","7,67",:,"0,78","4.671,12"
2013-10,Tschechische Republik,:,"228,37",:,"33.364,61","8,07","8,04","2,41","1.230,69",:,:,"1.098,29",:,"7.985,56","0,97","199,21","209,05",:,"5,25",:,"2.957,27",:,"3.556,31","11,09","1.578,80","13.480,29","101,69",:,"4.166,80","252,71",:,"0,29","2.491,03"
2013-10,Ungarn,:,:,:,"1.764,12","6,99",:,:,"958,16",:,:,"164,20",:,:,:,"208,77",:,:,"685,02",:,:,:,"3.629,91",:,"1.856,25","2.958,30",:,:,"1.438,86",:,"1,21",:,"483,26"
2013-10,Ver.Koenigr.,:,"289,55",:,"62.275,68","75,05","0,24","236,06","13.623,06",:,:,"2.391,29",:,"67.659,69",:,"403,95","2.607,82",:,"284,71","11,20","1,16",:,"286.928,37","7,30","164,66","10.931,16","1.628,66",:,"14.885,85","437,10","4.893,02","5,54",:
2013-10,Zypern,:,"89,32",:,"478,39",:,:,:,"3,46",:,:,"3.418,52",:,:,:,:,:,:,:,:,:,:,"11,87",:,"216,22","338,70","7,60",:,:,"0,53",:,:,"201,53"
2013-11,Belgien,:,:,:,"6.019,65","374,18",:,"354,14","1.232,35",:,:,:,:,"12.175,93",:,"35,90",:,:,"102,92","982,51","47,34",:,"70.228,82","0,49","13,94","844,76",:,:,"266,67","0,20","3,87",:,"3.356,21"
2013-11,Bulgarien,:,:,:,"2.593,89",:,:,:,"1.411,54",:,:,"38,38",:,"43,00",:,:,:,:,:,:,:,:,"824,62",:,"984,51",:,:,:,:,"2,27","0,43","1,55","470,54"
2013-11,Daenemark,:,"5,58",:,"3.885,82",:,:,"183,00","15,22",:,:,:,:,"573,50",:,"18,50",:,:,"40,24",:,:,:,"16.358,85","0,58","649,51","210,21","1,60",:,"50.368,69",:,"1,68",:,"280,17"
2013-11,Deutschland,:,"2.277,68",:,:,"3.671,84","2.904,53","10,53","14.736,88",:,:,"295,39",:,"350,72","8,51","2.222,66","1.249,49",:,"5.465,91","15.474,10","268,50",:,"186.393,31","1,87","11.339,03","22.823,78","1.432,43",:,"6.301,50","241,83","833,75","5,11","12.373,88"
2013-11,Estland,:,:,:,"360,68","0,17",:,"467,51","74,10",:,:,:,:,"537,60",:,:,"2.748,69",:,"281,44",:,:,:,"242,94",:,"6,67","1.622,96",:,:,"1.284,23","0,47",:,:,"492,07"
2013-11,Finnland,:,:,:,"3.592,77","37,11","673,30",:,"24,12",:,:,:,:,"4.060,73",:,"30,43",:,:,:,:,:,:,"9.993,45","1,82","7,92","127,60",:,:,"23.660,67","5,09",:,:,"326,20"
2013-11,Frankreich,:,"1.414,73",:,"30.441,31","77,13","2,03","33,68",:,:,:,"0,16",:,"24.324,00",:,"253,78","161,58",:,"4,98","88.470,28",:,:,"163.832,82","2,96","64,78","648,31","2.008,82",:,"2.650,28","92,75","266,05","84,09","7.843,22"
2013-11,Griechenland,:,:,:,"12.857,66",:,:,"1,76","851,76",:,:,:,:,:,:,"0,72",:,:,:,:,:,:,"1.134,96",:,"2.864,88","1,44","4,70",:,:,:,"0,32",:,"2.000,49"
2013-11,Irland,:,:,:,"4.084,05",:,:,"4,25","700,57",:,:,:,:,:,:,"0,12",:,:,:,:,:,:,"3.883,61",:,"35,40",:,"144,62",:,"1.703,38","0,16","2,75",:,"14.558,38"
2013-11,Italien,:,"1.422,80",:,"27.998,87","33,26",:,"4,88","7.561,52",:,:,"23,14",:,"26.896,51",:,:,"677,93",:,"545,36","95.003,46","1.243,49",:,"44.245,88",:,"588,78","2.568,38","505,77",:,"3,17","8,68","729,60",:,"5.791,98"
2013-11,Kroatia,:,"1,69",:,"39,75","0,00",:,"0,00","0,00",:,:,:,:,:,:,"21,56",:,:,:,:,:,:,"2.131,43",:,"3.834,08","0,00",:,:,"1.494,21",:,"0,00",:,"0,00"
2013-11,Lettland,:,:,:,"71,60",:,"208,39","82,63",:,:,:,:,:,"669,50",:,:,:,:,"6.728,02",:,:,:,"1,29",:,"22,67","6.504,06",:,:,"647,11",:,:,:,"312,96"
2013-11,Litauen,:,:,:,"170,77","21,04","215,55","2.179,42","0,58",:,:,:,:,"728,92",:,"35,06","19.672,01",:,:,:,:,:,"33,87",:,:,"1.747,26",:,:,"333,35",:,:,:,"1.157,93"
2013-11,Luxemburg,:,"4.854,27",:,"1.775,77",:,:,"528,68","3.022,39",:,:,:,:,"1.805,30",:,"38,65",:,:,:,:,:,:,"9.385,45",:,"3,55","148,53",:,:,:,"1,07","0,17",:,"239,58"
2013-11,Malta,:,:,:,"116,54",:,:,:,"4,61",:,:,:,:,:,:,"641,08","11,10",:,:,:,:,:,"189,00",:,:,:,:,:,:,:,:,:,"119,21"
2013-11,Niederlande,:,"3.029,37",:,"3.397,73","82,60",:,"2,09","1.023,85",:,:,"302,47",:,"36.347,76","0,15","11,53","873,02",:,:,"1,19",:,:,:,"4.436,83","37,65","1.050,05",:,:,"133,12","3.577,56","172,98","0,60","3.672,69"
2013-11,Oesterreich,:,:,:,"8.267,89","845,63",:,"4,77","336,21",:,:,:,:,"2.703,56","0,23","315,44","37,19",:,"58,74",:,:,:,"9.348,30",:,:,"5.366,66","103,95",:,"2.999,25","7,34","947,99","0,83","988,85"
2013-11,Polen,:,"1,10",:,"26.157,67","32,48",:,"80,27","4.418,86",:,:,:,:,"6,45",:,"21,18","85,70",:,"52,19",:,:,:,"11.319,40","1,47","29.112,94",:,:,:,"3.540,26","0,57","175,75","0,21","782,75"
2013-11,Portugal,:,"0,12",:,"3.860,64",:,:,"1,79","955,58",:,:,:,:,"5.059,77",:,"1.732,44",:,:,"104,04","1.934,08",:,:,"11.342,56",:,"110,53",:,:,:,"295,50","0,91","3.803,27",:,"419,57"
2013-11,Rumanien,:,:,:,"7.560,58","24,14","69,57","2,77","216,52",:,:,"2,98",:,"1,88",:,"18,36","36,54",:,"92,23","1.410,94",:,:,"7.425,90","1,20","7.300,69","177,27","0,44",:,:,"0,59","16,22",:,"361,47"
2013-11,Schweden,:,"43,20",:,"5.527,58","4.627,82",:,"6.315,24","74,28",:,:,:,:,"45.650,30",:,:,"23,83",:,"119,65",:,:,:,"86.557,53","75,74","38,83","57,55",:,:,:,"14,21","0,27",:,"1.388,25"
2013-11,Slowakei,:,:,:,"15.760,46",:,:,"2.415,21","163,68",:,:,:,:,"1.548,42",:,"817,44","15,64",:,"219,37",:,"63,00",:,"44,17",:,"314.992,67","3.142,36","83,15",:,"2.239,33","9,24","729,77",:,"1.712,45"
2013-11,Slowenien,:,:,:,"1.861,96",:,:,:,"36,61",:,:,:,:,:,:,"3,62",:,:,:,:,:,:,"73,59",:,"8.243,20","532,16",:,:,"786,38",:,:,:,"408,00"
2013-11,Spanien,"0,94",:,"15,11","12.859,78",:,:,"9,78","2.658,61",:,:,"17,20",:,"18.620,82",:,"10.686,37","104,65",:,"268,44","2.031,60",:,"8,21","74.879,77","1,11","161,40","221,30","873,69",:,"10.131,07","5,24",:,:,"2.728,23"
2013-11,Tschechische Republik,:,"0,27",:,"39.510,10","301,82","3,36",:,"2.088,21",:,:,"2.209,92",:,"19.740,23","2,25","70,69","76,08",:,"60,44","24,90","316,63",:,"1.678,76","24,90","2.052,47","8.864,11","66,98",:,"3.633,34","393,76",:,:,"1.825,73"
2013-11,Ungarn,:,:,:,"1.714,99","8,86",:,"2,45","1.607,28",:,:,:,:,"0,70",:,"0,68",:,:,:,"1.040,07",:,:,"5.393,64",:,"3.678,22","3.525,65",:,:,"2.511,06","0,64","34,55",:,"197,69"
2013-11,Ver.Koenigr.,:,"267,56",:,"37.335,15","306,23","13,19","241,25","13.892,17",:,"2,27","2.642,46",:,"76.281,30",:,"420,82","1.698,84",:,"142,64","2,13","0,48",:,"236.665,26","130,13","134,84","6.770,33","540,64",:,"6.479,14","3.899,15","3.472,82",:,:
2013-11,Zypern,:,"302,57",:,"1.070,18","43,10",:,:,"1,05",:,:,"3.464,42",:,:,:,:,"161,47",:,:,:,:,:,"8,88","0,06","523,01","157,63",:,:,:,:,:,:,"891,27"
2013-12,Belgien,:,:,:,"4.545,11","1.162,47","156,32","18,86","1.685,65",:,:,:,:,"8.987,33",:,"213,20",:,:,:,"572,16",:,:,"80.923,03",:,"419,82","154,43",:,:,"1.020,86","472,14","14,35","0,76","3.295,63"
