PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2012-01,Ungarn,:,:,:,"2.615,68",:,:,"1.695,12","305,04",:,:,:,:,"4.136,26",:,:,:,:,:,"228,19",:,:,"16,98",:,"684,71","34,23",:,:,"548,00","7,17",:,:,"641,05"
2012-01,Ver.Koenigr.,:,"45,53",:,"5.044,65","26,97","205,94","154,83","5.131,36",:,:,"0,69",:,"49.322,45",:,"934,29",:,:,"41,87","113.452,07",:,:,"47.896,69","1.381,77","248,66","3.719,64","290,15",:,"2.809,25","76,99","1.236,17","311,31",:
2012-01,Zypern,:,:,:,"380,82",:,:,:,"1,79",:,:,"621,22",:,:,:,:,"19,48",:,:,:,:,:,"17,78",:,"304,96",:,"12,94",:,:,:,:,:,"577,70"
2012-02,Belgien,:,:,:,"3.717,29","269,47",:,"2.007,78","901,96",:,:,:,:,"11.597,20",:,"53,29",:,:,"10,42","180,90",:,:,"21.726,97",:,"21,28","115,51","34,52",:,"217,38","0,10","159,52","0,21","1.531,29"
2012-02,Bulgarien,:,:,:,"1.507,04",:,:,"694,66","2,66",:,:,"42,06",:,"978,61",:,:,:,:,:,:,:,:,"1.046,99",:,"2.033,15","33,26",:,:,:,:,:,:,"84,13"
2012-02,Daenemark,:,"1,46",:,"6.147,34",:,"3,97","24,73","94,31",:,:,:,:,"490,68",:,"4,59",:,:,:,:,:,:,"20.674,90","10,47",:,"808,93","476,92",:,"44.489,47","1.760,39","108,02",:,"1.742,40"
2012-02,Deutschland,:,"517,35",:,:,"616,10","344,06","13.685,77","7.172,23",:,:,"113,37",:,"17,64",:,"483,79","74,75",:,"346,35","249,70",:,:,"143.438,38","3,93","13.651,48","2.025,22","140,55",:,"859,94","390,14","258,92","1,21","19.905,84"
2012-02,Estland,:,:,:,"141,12","0,56",:,"914,86","0,82",:,:,:,:,"579,60",:,:,"1.931,87",:,"306,46",:,:,:,:,"0,14",:,"52,92",:,:,"199,53",:,:,:,:
2012-02,Finnland,:,"45,70",:,"3.635,49","24,29","1.260,56",:,"301,53",:,:,:,:,"8.014,42",:,"93,92",:,:,:,:,:,:,"11.902,77","0,56","21,85",:,:,:,"7.505,78",:,"15,86",:,"33,91"
2012-02,Frankreich,:,"379,27",:,"6.253,60","18,30",:,"7.158,00",:,:,:,"24,67",:,"6,62",:,"374,96","128,37",:,:,"61.705,19",:,:,"107.397,24","3,58","312,67","78,04","94,94",:,"382,43","129,28","121,71",:,"19.481,51"
2012-02,Griechenland,:,:,:,"2.059,28",:,:,"1.492,37","426,98",:,:,:,:,:,:,:,:,:,:,"6.265,00",:,:,"2.003,91","0,45","5.016,48","3,63",:,:,"3,73",:,"6,04",:,"156,04"
2012-02,Irland,:,"0,40",:,"1.570,11",:,:,"863,76","56,56",:,:,:,:,:,:,:,:,:,:,"1.728,09",:,:,"826,55",:,:,:,:,:,:,:,:,:,"14.579,40"
2012-02,Italien,:,"14,85",:,"60.531,38","1,33",:,"4.264,68","1.960,09",:,:,:,:,:,:,:,"119,78",:,:,"28.529,51","203,55",:,"11.159,87",:,"865,99","69,18",:,:,"3,10","3,53","83,22",:,"15.220,97"
2012-02,Kroatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2012-02,Lettland,:,:,:,"223,23",:,"4,99","842,52","3,74",:,:,:,:,"948,42","1,31",:,:,:,"1.367,31",:,:,:,"27,50","1,25","31,58","146,57","29,54",:,"80,66",:,:,:,"286,72"
